Generic Name	Custom Name	User	ON	Evos	Custom Group	Group Name	Name	Item For	Index	Trade	Rarity	Effect	Element	Status	Stat	Target Element	Category	Quantity	Map Status	FamilyOn
3* Glasses		ditto	True	False					D		3*	041: TrapBuster								True
3* Collar		ditto	True	False					E		3*	062: FastFriend								True
3* Mantle		ditto	True	False					F		3*	052: BetterOdds								True
0* None	Fairy Collar	sylveon	True	False					A	CY	5*	036: WeaknessPayback	steel	in_love						True
2* Ring		sylveon	True	False					B	Z[C	4*	057: SelfCurer								True
1* Card		sylveon	True	False	eevee, sylveon				C		2*	023: StatusOnAttack		in_love						True
0* None	Icy Collar	glaceon	True	False					D	FY	5*	078: EndureType	fire							True
1* Hair		glaceon	True	False					E	Z[F	4*	055: CloseDodge								True
1* Card		glaceon	True	False	eevee, glaceon				F		2*	023: StatusOnAttack		freeze						True
0* None	Virid Collar	leafeon	True	False					G	IY	5*	036: WeaknessPayback	ice	leech_seed						True
2* Ring		leafeon	True	False					H	Z[I	4*	056: FastHealer								True
1* Card		leafeon	True	False	eevee, leafeon				I		2*	023: StatusOnAttack		leech_seed						True
0* None	Dusk Collar	umbreon	True	False					J	LY	5*	082: WeaknessReduce	fighting							True
2* Ring		umbreon	True	False					K	Z[L	4*	041: TrapBuster								True
1* Card		umbreon	True	False	eevee, umbreon				L		2*	023: StatusOnAttack		flinch						True
0* None	Light Collar	espeon	True	False					M	OY	5*	036: WeaknessPayback	dark	confuse						True
2* Ring		espeon	True	False					N	Z[O	4*	044: WandSpread								True
1* Card		espeon	True	False	eevee, espeon				O		2*	023: StatusOnAttack		confuse						True
0* None	Fire Collar	flareon	True	False					P	RY	5*	103: TypeBecomesCategory	fire				001: Physical			True
2* Ring		flareon	True	False					Q	Z[R	4*	040: ExplosiveAttack								True
1* Card		flareon	True	False	eevee, flareon				R		2*	023: StatusOnAttack		burn						True
0* None	Volt Collar	jolteon	True	False					S	UY	5*	047: Celebrate								True
2* Ring		jolteon	True	False					T	Z[U	4*	070: PassThroughAttacker								True
1* Card		jolteon	True	False	eevee, jolteon				U		2*	023: StatusOnAttack		paralyze						True
0* None	Aqua Collar	vaporeon	True	False					V	XY	5*	036: WeaknessPayback	electric	immobilized						True
2* Ring		vaporeon	True	False					W	Z[X	4*	074: HealInWater								True
1* Card		vaporeon	True	False	eevee, vaporeon				X		2*	023: StatusOnAttack		immobilized						True
0* None	Prism Ruff	eevee	True	True					Y		4*	068: TypedAttack								True
1* Tail		eevee	True	True					Z		1*	014: DeepBreather								True
1* Card		eevee	True	True					[		1*	015: PracticeSwinger								True
0* None	Best Scarf	porygon_z	True	True					A	*	5*	067: SecondSTAB	normal							True
0* None	Virtual Bow	porygon2	True	True					B	*	4*	010: AllTerrain								True
1* Card		porygon	True	True					C	*	1*	059: StatMirror								True
1* Tail		porygon	True	True					D	*	2*	052: BetterOdds								True
0* None	AI Brooch	porygon	True	True					E	*	3*	069: GapProber								True
0* None		porygon2	False	True					F	*	3*	000: None								True
0* None	Aged Scarf	omastar	True	True					A	*	5*	082: WeaknessReduce	electric							True
3* Torc		omastar	True	True					B	*	4*	057: SelfCurer								True
1* Foam		omanyte	True	True					C	*	1*	016: MisfortuneMirror								True
1* Mud		omanyte	True	True					D	*	2*	052: BetterOdds								True
0* None		omanyte	True	True					E	*	3*	000: None								True
0* None		omastar	False	True					F	*	3*	000: None								True
3* Torc		kabutops	True	True					A	*	5*	037: WarpPayback	electric							True
3* Blade		kabutops	True	True					B	*	4*	048: Absorption								True
1* Claw		kabuto	True	True					C	*	1*	014: DeepBreather								True
1* Foam		kabuto	True	True					D	*	2*	019: MasterHurler								True
0* None		kabuto	True	True					E	*	3*	000: None								True
0* None		kabutops	False	True					F	*	3*	000: None								True
0* None	Old Brooch	aerodactyl	True	False					A	*	5*	078: EndureType	ice							True
3* Scarf		aerodactyl	True	False					B	*	4*	049: ExcessiveForce								True
1* Wing		aerodactyl	True	False					C	*	1*	018: DoubleAttacker								True
1* Fang		aerodactyl	True	False					D	*	2*	022: PressurePlus								True
2* Jaw		aerodactyl	True	False					E	*	3*	069: GapProber								True
0* None		aerodactyl	False	False					F	*	3*	000: None								True
0* None	Glee Scarf	snorlax	True	True					A	*	5*	082: WeaknessReduce	dark							True
3* Shield		snorlax	True	True					B	*	4*	076: HealOnNewFloor								True
1* Drool		munchlax	True	True					C	*	1*	026: SureHitAttacker								True
1* Claw		munchlax	True	True					D	*	2*	050: Anchor								True
0* None	Tummy Charm	munchlax	True	True					E	*	3*	042: ExplosionGuard								True
0* None	Valor Charm	snorlax	False	True					F	*	3*	000: None								True
0* None	Freeze Veil	articuno	True	False		bird_trio			A	BL	5*	100: ChanceStatusOnTypeHit	flying	freeze				35		True
3* Scarf		articuno	True	False		bird_trio			B		4*	047: Celebrate								True
2* Crest		articuno	True	False		bird_trio			C	JK	3*	059: StatMirror								True
0* None	Thunder Veil	zapdos	True	False		bird_trio			D	EL	5*	100: ChanceStatusOnTypeHit	flying	paralyze				35		True
3* Crown		zapdos	True	False		bird_trio			E		4*	048: Absorption								True
2* Crest		zapdos	True	False		bird_trio			F	JK	3*	069: GapProber								True
0* None	Fire Veil	moltres	True	False		bird_trio			G	HL	5*	100: ChanceStatusOnTypeHit	flying	burn				35		True
3* Cape		moltres	True	False		bird_trio			H		4*	049: ExcessiveForce								True
2* Crest		moltres	True	False		bird_trio			I	JK	3*	005: SuperCrit								True
0* None	Mystery Wing	articuno	True	False	articuno, zapdos, moltres	bird_trio			J		1*	043: WandMaster								True
0* None	Mystery Card	articuno	True	False	articuno, zapdos, moltres	bird_trio			K		2*	052: BetterOdds								True
0* None	Mystery Seal	articuno	True	False	articuno, zapdos, moltres	bird_trio			L		3*	017: CounterBasher								True
0* None	Mirage Cape	dragonite	True	True					A	*	5*	078: EndureType	ice							True
3* Tiara		dragonair	True	True					B	*	4*	041: TrapBuster								True
1* Foam		dratini	True	True					C	*	1*	026: SureHitAttacker								True
1* Tail		dratini	True	True					D	*	2*	029: StatDropImmune			004: MDef					True
2* Coin		dratini	True	True					E	*	3*	032: StairSensor								True
2* Jewel		dragonair	False	True					F	*	3*	000: None								True
0* None	Havoc Robe	mewtwo	True	False		mew_duo			A	CDB	5*	040: ExplosiveAttack								True
3* Torc		mewtwo	True	False		mew_duo			B	HC	4*	010: AllTerrain								True
1* Beam		mewtwo	True	False		mew_duo			C		2*	022: PressurePlus								True
2* Seal		mewtwo	True	False		mew_duo			D	HC	3*	018: DoubleAttacker								True
0* None		mewtwo	True	False		mew_duo			E		3*	000: None								True
0* None	Life Ring	mew	True	False		mew_duo			F	IJG	5*	080: NoStatusInWeather							clear	True
3* Scarf		mew	True	False		mew_duo			G	HI	4*	090: DevolveOnAttack								True
1* Hair		mew	True	False	mew, mewtwo	mew_duo			H		1*	091: ProjectileAttack								True
1* Card		mew	True	False		mew_duo			I		2*	062: FastFriend								True
2* Seal		mew	True	False		mew_duo			J	HI	3*	010: AllTerrain						2		True
0* None		mew	True	False		mew_duo			K		3*	000: None								True
0* None	Bright Veil	meganium	True	True					A	*	5*	046: RoyalVeil								True
0* None	Spice Bow	bayleef	True	True					B	*	4*	087: MapStatusOnCategoryUse					003: Status		grassy_terrain	True
1* Card		chikorita	True	True					C	*	1*	014: DeepBreather								True
1* Claw		chikorita	True	True					D	*	2*	057: SelfCurer								True
0* None	Dawn Jewel	chikorita	True	True					E	*	3*	056: FastHealer								True
2* Seal		bayleef	False	True					F	*	3*	000: None								True
0* None	Blast Bangle	typhlosion	True	True					A	*	5*	040: ExplosiveAttack								True
0* None	Volcano Torc	quilava	True	True					B	*	4*	054: DistanceDodge								True
1* Hair		cyndaquil	True	True					C	*	1*	088: DoubleDash								True
1* Claw		cyndaquil	True	True					D	*	2*	015: PracticeSwinger								True
0* None	Blazing Rock	cyndaquil	True	True					E	*	3*	104: WeaknessDodge								True
2* Crest		quilava	False	True					F	*	3*	000: None								True
3* Torc		feraligatr	True	True					A	*	5*	095: CelebrateCure								True
0* None	Anger Scarf	croconaw	True	True					B	*	4*	049: ExcessiveForce								True
1* Fang		totodile	True	True					C	*	1*	014: DeepBreather								True
1* Dew		totodile	True	True					D	*	2*	051: BarrageGuard								True
0* None	Water Heart	totodile	True	True					E	*	3*	069: GapProber								True
0* None	Swirl Rock	croconaw	False	True					F	*	3*	000: None								True
0* None	Body Collar	furret	True	True					A	*	5*	086: StatusOnCategoryUse		lucky_chant			003: Status			True
2* Brooch		furret	True	True					B	*	4*	034: MapSurveyor								True
1* Tail		sentret	True	True					C	*	1*	051: BarrageGuard								True
1* Card		sentret	True	True					D	*	2*	018: DoubleAttacker								True
0* None		sentret	True	True					E	*	3*	000: None								True
0* None		furret	False	True					F	*	3*	000: None								True
3* Torc		noctowl	True	True					A	*	5*	067: SecondSTAB	psychic							True
3* Ruff		noctowl	True	True					B	*	4*	070: PassThroughAttacker								True
1* Wing		hoothoot	True	True					C	*	1*	013: PPBoost						2		True
1* Claw		hoothoot	True	True					D	*	2*	023: StatusOnAttack		sleep						True
0* None		hoothoot	True	True					E	*	3*	000: None								True
0* None		noctowl	False	True					F	*	3*	000: None								True
3* Bow		ledian	True	True					A	*	5*	097: StatOnCategoryUse		mod_speed			003: Status	25		True
2* Ring		ledian	True	True					B	*	4*	071: WeatherProtection								True
1* Card		ledyba	True	True					C	*	1*	051: BarrageGuard								True
1* Wing		ledyba	True	True					D	*	2*	053: ClutchPerformer								True
0* None		ledyba	True	True					E	*	3*	000: None								True
0* None		ledian	False	True					F	*	3*	000: None								True
3* Bow		ariados	True	True					A	*	5*	085: StatusOnCategoryHit		flinch			003: Status			True
3* Tie		ariados	True	True					B	*	4*	070: PassThroughAttacker								True
1* Card		spinarak	True	True					C	*	1*	006: NVECrit								True
1* Drool		spinarak	True	True					D	*	2*	059: StatMirror								True
0* None		spinarak	True	True					E	*	3*	000: None								True
0* None		ariados	False	True					F	*	3*	000: None								True
3* Bow		lanturn	True	True					A	*	5*	082: WeaknessReduce	dark							True
3* Sash		lanturn	True	True					B	*	4*	005: SuperCrit								True
1* Dew		chinchou	True	True					C	*	1*	094: PPSaver								True
1* Card		chinchou	True	True					D	*	2*	052: BetterOdds								True
0* None		chinchou	True	True					E	*	3*	000: None								True
0* None		lanturn	False	True					F	*	3*	000: None								True
0* None	Glitter Robe	togekiss	True	True					A	*	5*	092: MetronomePlus								True
0* None	Luck Brooch	togetic	True	True					B	*	4*	005: SuperCrit								True
1* Dew		togepi	True	True					C	*	1*	006: NVECrit								True
1* Card		togepi	True	True					D	*	2*	027: SpecialAttacker								True
0* None	Pure Heart	togepi	True	True					E	*	3*	016: MisfortuneMirror								True
0* None	Happy Rock	togetic	False	True					F	*	3*	000: None								True
3* Bow		xatu	True	True					A	*	5*	035: XRay								True
2* Crest		xatu	True	True					B	*	4*	041: TrapBuster								True
1* Card		natu	True	True					C	*	1*	030: SleepWalker								True
1* Wing		natu	True	True					D	*	2*	043: WandMaster								True
0* None		natu	True	True					E	*	3*	000: None								True
0* None		xatu	False	True					F	*	3*	000: None								True
0* None	Sacred Scarf	ampharos	True	True					A	*	5*	036: WeaknessPayback	grass	electrified						True
3* Scarf		flaaffy	True	True					B	*	4*	091: ProjectileAttack								True
1* Card		mareep	True	True					C	*	1*	027: SpecialAttacker								True
1* Beam		mareep	True	True					D	*	2*	013: PPBoost						2		True
2* Guard		mareep	True	True					E	*	3*	043: WandMaster								True
2* Jewel		flaaffy	False	True					F	*	3*	000: None								True
0* None	Dotted Scarf	azumarill	True	True					A	*	5*	036: WeaknessPayback	steel	whirlpool						True
3* Hat		marill	True	True					B	*	4*	071: WeatherProtection								True
1* Dew		azurill	True	True					C	*	1*	053: ClutchPerformer								True
1* Card		azurill	True	True					D	*	2*	026: SureHitAttacker								True
2* Charm		azurill	True	True					E	*	3*	032: StairSensor								True
0* None	Surfer Rock	marill	False	True					F	*	3*	000: None								True
0* None	Fake Torc	sudowoodo	True	True					A	*	5*	078: EndureType	water							True
3* Scarf		sudowoodo	True	True					B	*	4*	056: FastHealer								True
1* Dew		bonsly	True	True					C	*	1*	026: SureHitAttacker								True
1* Card		bonsly	True	True					D	*	2*	052: BetterOdds								True
0* None	Arid Tag	bonsly	True	True					E	*	3*	069: GapProber								True
0* None	Drain Rock	sudowoodo	False	True					F	*	3*	000: None								True
0* None	Cotton Torc	jumpluff	True	True					A	*	5*	093: AttackRangeInWeather							sunny	True
3* Bow		skiploom	True	True					B	*	4*	071: WeatherProtection								True
1* Card		hoppip	True	True					C	*	1*	039: WideAttack								True
1* Leaf		hoppip	True	True					D	*	2*	029: StatDropImmune			005: Speed					True
2* Charm		hoppip	True	True					E	*	3*	055: CloseDodge								True
2* Dust		skiploom	False	True					F	*	3*	000: None								True
3* Bow		ambipom	True	True					A	*	5*	004: TypeBulldozer	normal			ghost				True
3* Scarf		ambipom	True	True					B	*	4*	047: Celebrate								True
1* Card		aipom	True	True					C	*	1*	013: PPBoost						2		True
1* Claw		aipom	True	True					D	*	2*	084: HitAndRun								True
0* None		aipom	True	True					E	*	3*	000: None								True
0* None		ambipom	False	True					F	*	3*	000: None								True
0* None	Sun Scarf	sunflora	True	True					A	*	5*	080: NoStatusInWeather							sunny	True
3* Ruff		sunflora	True	True					B	*	4*	010: AllTerrain								True
1* Card		sunkern	True	True					C	*	1*	006: NVECrit								True
1* Leaf		sunkern	True	True					D	*	2*	062: FastFriend								True
2* Aroma		sunkern	True	True					E	*	3*	051: BarrageGuard								True
0* None		sunflora	False	True					F	*	3*	000: None								True
3* Bow		yanmega	True	True					A	*	5*	078: EndureType	rock							True
3* Scope		yanmega	True	True					B	*	4*	038: LungeAttack								True
1* Card		yanma	True	True					C	*	1*	084: HitAndRun								True
1* Wing		yanma	True	True					D	*	2*	018: DoubleAttacker								True
0* None		yanma	True	True					E	*	3*	000: None								True
0* None		yanmega	False	True					F	*	3*	000: None								True
3* Torc		quagsire	True	True					A	*	5*	080: NoStatusInWeather							rain	True
3* Tie		quagsire	True	True					B	*	4*	045: MultiRayShot								True
1* Card		wooper	True	True					C	*	1*	016: MisfortuneMirror								True
1* Dew		wooper	True	True					D	*	2*	052: BetterOdds								True
0* None		wooper	True	True					E	*	3*	000: None								True
0* None		quagsire	False	True					F	*	3*	000: None								True
3* Cape		honchkrow	True	True					A	*	5*	086: StatusOnCategoryUse		grudge			003: Status			True
3* Hat		honchkrow	True	True					B	*	4*	041: TrapBuster								True
1* Card		murkrow	True	True					C	*	1*	083: Gratitude								True
1* Claw		murkrow	True	True					D	*	2*	017: CounterBasher								True
2* Seal		murkrow	True	True					E	*	3*	043: WandMaster								True
0* None		honchkrow	False	True					F	*	3*	000: None								True
0* None	Magic Hat	mismagius	True	True					A	*	5*	086: StatusOnCategoryUse		magic_coat			003: Status			True
2* Brooch		mismagius	True	True					B	*	4*	044: WandSpread								True
1* Card		misdreavus	True	True					C	*	1*	051: BarrageGuard								True
1* Hair		misdreavus	True	True					D	*	2*	016: MisfortuneMirror								True
0* None		misdreavus	True	True					E	*	3*	000: None								True
0* None		mismagius	False	True					F	*	3*	000: None								True
2* Seal	\uE041	unown	True	False					A		1*	082: WeaknessReduce	dark							True
2* Seal	\uE042	unown	True	False					B		1*	040: ExplosiveAttack								True
2* Seal	\uE043	unown	True	False					C		1*	044: WandSpread								True
2* Seal	\uE044	unown	True	False					D		1*	045: MultiRayShot								True
2* Seal	\uE045	unown	True	False					E		1*	095: CelebrateCure								True
2* Seal	\uE046	unown	True	False					F		1*	047: Celebrate								True
2* Seal	\uE047	unown	True	False					G		1*	013: PPBoost						5		True
2* Seal	\uE048	unown	True	False					H		1*	011: Wallbreaker								True
2* Seal	\uE049	unown	True	False					I		1*	034: MapSurveyor								True
2* Seal	\uE04A	unown	True	False					J		1*	091: ProjectileAttack								True
2* Seal	\uE04B	unown	True	False					K		1*	051: BarrageGuard								True
2* Seal	\uE04C	unown	True	False					L		1*	056: FastHealer								True
2* Seal	\uE04D	unown	True	False					M		1*	093: AttackRangeInWeather							clear	True
2* Seal	\uE04E	unown	True	False					N		1*	054: DistanceDodge								True
2* Seal	\uE04F	unown	True	False					O		1*	055: CloseDodge								True
2* Seal	\uE050	unown	True	False					P		1*	026: SureHitAttacker								True
2* Seal	\uE051	unown	True	False					Q		1*	033: AcuteSniffer								True
2* Seal	\uE052	unown	True	False					R		1*	032: StairSensor								True
2* Seal	\uE053	unown	True	False					S		1*	048: Absorption								True
2* Seal	\uE054	unown	True	False					T		1*	046: RoyalVeil								True
2* Seal	\uE055	unown	True	False					U		1*	073: CheekPouch								True
2* Seal	\uE056	unown	True	False					V		1*	080: NoStatusInWeather							clear	True
2* Seal	\uE057	unown	True	False					W		1*	016: MisfortuneMirror								True
2* Seal	\uE058	unown	True	False					X		1*	015: PracticeSwinger								True
2* Seal	\uE059	unown	True	False					Y		1*	053: ClutchPerformer								True
2* Seal	\uE05A	unown	True	False					Z		1*	059: StatMirror								True
0* None	Suffer Scarf	wobbuffet	True	True					A	*	5*	078: EndureType	dark							True
3* Tie		wobbuffet	True	True					B	*	4*	034: MapSurveyor								True
1* Card		wynaut	True	True					C	*	1*	014: DeepBreather								True
1* Tail		wynaut	True	True					D	*	2*	043: WandMaster								True
0* None	Grin Charm	wynaut	True	True					E	*	3*	017: CounterBasher								True
0* None	Endure Rock	wobbuffet	False	True					F	*	3*	065: ChestFinder								True
0* None	Reverse Bow	farigiraf	True	True					A	*	5*	086: StatusOnCategoryUse		magic_coat			003: Status			True
3* Specs		farigiraf	True	True					B	*	4*	067: SecondSTAB	ghost							True
1* Card		girafarig	True	True					C	*	1*	094: PPSaver								True
1* Horn		girafarig	True	True					D	*	2*	018: DoubleAttacker								True
2* Coin		girafarig	True	True					E	*	3*	095: CelebrateCure								True
0* None		girafarig	False	True					F	*	3*	000: None								True
0* None	Dense Poncho	forretress	True	True					A	*	5*	037: WarpPayback	fire							True
3* Coat		forretress	True	True					B	*	4*	010: AllTerrain								True
1* Card		pineco	True	True					C	*	1*	061: ErraticDefender								True
1* Branch		pineco	True	True					D	*	2*	059: StatMirror								True
2* Charm		pineco	True	True					E	*	3*	042: ExplosionGuard								True
0* None		forretress	False	True					F	*	3*	000: None								True
0* None	Escape Scarf	dunsparce	True	False					A	*	5*	037: WarpPayback	ground							True
3* Band		dunsparce	True	False					B	*	4*	007: Nontraitor								True
1* Card		dunsparce	True	False					C	*	1*	013: PPBoost						2		True
1* Tail		dunsparce	True	False					D	*	2*	062: FastFriend								True
2* Medal		dunsparce	True	False					E	*	3*	029: StatDropImmune			001: Attack					True
0* None		dunsparce	False	False					F	*	3*	000: None								True
3* Cap		gliscor	True	True					A	*	5*	036: WeaknessPayback	grass	confuse						True
2* Brooch		gliscor	True	True					B	*	4*	070: PassThroughAttacker								True
1* Card		gligar	True	True					C	*	1*	014: DeepBreather								True
1* Claw		gligar	True	True					D	*	2*	023: StatusOnAttack		poison						True
0* None		gligar	True	True					E	*	3*	000: None								True
0* None		gliscor	False	True					F	*	3*	000: None								True
0* None	Stern Sash	granbull	True	True					A	*	5*	082: WeaknessReduce	ghost							True
3* Cape		granbull	True	True					B	*	4*	049: ExcessiveForce								True
1* Card		snubbull	True	True					C	*	1*	016: MisfortuneMirror								True
1* Fang		snubbull	True	True					D	*	2*	052: BetterOdds								True
2* Rock		snubbull	True	True					E	*	3*	000: None								True
0* None		granbull	False	True					F	*	3*	000: None								True
3* Bow		overqwil	True	True					A	*	5*	040: ExplosiveAttack								True
2* Ring		overqwil	True	True					B	*	4*	079: SpikeDropper					002: Magical			True
1* Card		qwilfish	True	True					C	*	1*	015: PracticeSwinger								True
1* Foam		qwilfish	True	True					D	*	2*	029: StatDropImmune			001: Attack					True
2* Crest		qwilfish	True	True					E	*	3*	000: None								True
0* None		overqwil	False	True					F	*	3*	000: None								True
3* Bow		shuckle	True	False					A	*	5*	078: EndureType	water							True
3* Shield		shuckle	True	False					B	*	4*	093: AttackRangeInWeather							sandstorm	True
1* Card		shuckle	True	False					C	*	1*	050: Anchor								True
1* Gasp		shuckle	True	False					D	*	2*	060: ErraticAttacker								True
2* Aroma		shuckle	True	False					E	*	3*	042: ExplosionGuard								True
0* None		shuckle	False	False					F	*	3*	000: None								True
0* None	Horn Torc	heracross	True	False					A	*	5*	036: WeaknessPayback	fire	torment						True
3* Belt		heracross	True	False					B	*	4*	025: ThrowOnAttack								True
1* Card		heracross	True	False					C	*	1*	019: MasterHurler								True
1* Horn		heracross	True	False					D	*	2*	052: BetterOdds								True
2* Guard		heracross	True	False					E	*	3*	005: SuperCrit								True
0* None		heracross	False	False					F	*	3*	000: None								True
0* None	Ruin Armlet	weavile	True	True					A	*	5*	078: EndureType	fighting							True
3* Scarf		weavile	True	True					B	*	4*	022: PressurePlus								True
1* Card		sneasel	True	True					C	*	1*	094: PPSaver								True
1* Claw		sneasel	True	True					D	*	2*	088: DoubleDash								True
0* None	Dusk Jewel	sneasel	True	True					E	*	3*	000: None								True
0* None	Vile Tag	weavile	False	True					F	*	3*	000: None								True
0* None	Hiber Scarf	ursaring	True	True					A	*	5*	085: StatusOnCategoryHit		yawning			003: Status			True
3* Bow		ursaring	True	True					B	*	4*	056: FastHealer								True
1* Card		teddiursa	True	True					C	*	1*	033: AcuteSniffer								True
1* Claw		teddiursa	True	True					D	*	2*	015: PracticeSwinger								True
0* None	Honey Rock	teddiursa	True	True					E	*	3*	032: StairSensor								True
0* None	Calming Rock	ursaring	False	True					F	*	3*	000: None								True
0* None	Lava Bow	magcargo	True	True					A	*	5*	078: EndureType	water							True
3* Torc		magcargo	True	True					B	*	4*	048: Absorption								True
1* Card		slugma	True	True					C	*	1*	023: StatusOnAttack		burn						True
1* Beam		slugma	True	True					D	*	2*	015: PracticeSwinger								True
2* Ore		slugma	True	True					E	*	3*	075: HealInLava								True
2* Rock		magcargo	False	True					F	*	3*	000: None								True
0* None	Glacier Cape	mamoswine	True	True					A	*	5*	067: SecondSTAB	rock							True
0* None	Frost Torc	piloswine	True	True					B	*	4*	047: Celebrate								True
1* Card		swinub	True	True					C	*	1*	033: AcuteSniffer								True
1* Hair		swinub	True	True					D	*	2*	060: ErraticAttacker								True
0* None		swinub	True	True					E	*	3*	000: None								True
0* None		piloswine	False	True					F	*	3*	000: None								True
0* None	Eager Brooch	corsola	True	False					A	*	5*	086: StatusOnCategoryUse		reflect			003: Status			True
3* Dress		corsola	True	False					B	*	4*	056: FastHealer								True
1* Card		corsola	True	False					C	*	1*	014: DeepBreather								True
1* Foam		corsola	True	False					D	*	2*	059: StatMirror								True
2* Pebble		corsola	True	False					E	*	3*	069: GapProber								True
0* None		corsola	False	False					F	*	3*	000: None								True
3* Bow		octillery	True	True					A	*	5*	036: WeaknessPayback	electric	blinker						True
3* Armor		octillery	True	True					B	*	4*	041: TrapBuster								True
1* Card		remoraid	True	True					C	*	1*	051: BarrageGuard								True
1* Foam		remoraid	True	True					D	*	2*	060: ErraticAttacker								True
2* Crest		remoraid	True	True					E	*	3*	000: None								True
0* None		octillery	False	True					F	*	3*	000: None								True
0* None	Snow Brooch	delibird	True	False					A	*	5*	034: MapSurveyor								True
3* Hat		delibird	True	False					B	*	4*	056: FastHealer								True
1* Card		delibird	True	False					C	*	1*	083: Gratitude								True
1* Wing		delibird	True	False					D	*	2*	062: FastFriend								True
2* Crest		delibird	True	False					E	*	3*	054: DistanceDodge								True
0* None		delibird	False	False					F	*	3*	000: None								True
0* None	Horizon Bow	mantine	True	True					A	*	5*	036: WeaknessPayback	ice	whirlpool						True
0* None	Ocean Bow	mantine	True	True					B	*	4*	041: TrapBuster								True
1* Beam		mantyke	True	True					C	*	1*	014: DeepBreather								True
1* Card		mantyke	True	True					D	*	2*	050: Anchor								True
0* None	Waft Rock	mantyke	True	True					E	*	3*	032: StairSensor								True
0* None	Sunset Rock	mantine	False	True					F	*	3*	000: None								True
3* Cape		skarmory	True	False					A	*	5*	078: EndureType	fire							True
3* Shield		skarmory	True	False					B	*	4*	041: TrapBuster								True
1* Card		skarmory	True	False					C	*	1*	026: SureHitAttacker								True
1* Wing		skarmory	True	False					D	*	2*	061: ErraticDefender								True
2* Coin		skarmory	True	False					E	*	3*	069: GapProber								True
0* None		skarmory	False	False					F	*	3*	000: None								True
0* None	Pit Fang	houndoom	True	True					A	*	5*	098: StatusOnTypeHit	fire	heal_block						True
3* Collar		houndoom	True	True					B	*	4*	049: ExcessiveForce								True
1* Card		houndour	True	True					C	*	1*	033: AcuteSniffer								True
1* Fang		houndour	True	True					D	*	2*	060: ErraticAttacker								True
2* Jaw		houndour	True	True					E	*	3*	000: None								True
0* None		houndoom	False	True					F	*	3*	000: None								True
0* None	Armor Scarf	donphan	True	True					A	*	5*	067: SecondSTAB	rock							True
3* Armor		donphan	True	True					B	*	4*	047: Celebrate								True
1* Claw		phanpy	True	True					C	*	1*	051: BarrageGuard								True
1* Card		phanpy	True	True					D	*	2*	019: MasterHurler								True
2* Tag		phanpy	True	True					E	*	3*	069: GapProber								True
2* Crest		donphan	False	True					F	*	3*	000: None								True
0* None	Delusion Bow	stantler	True	False					A	*	5*	085: StatusOnCategoryHit		flinch			003: Status			True
3* Crown		stantler	True	False					B	*	4*	058: StatusMirror								True
1* Beam		stantler	True	False					C	*	1*	084: HitAndRun								True
1* Card		stantler	True	False					D	*	2*	018: DoubleAttacker								True
2* Crest		stantler	True	False					E	*	3*	069: GapProber								True
0* None		stantler	False	False					F	*	3*	000: None								True
0* None	Paint Scarf	smeargle	True	False					A	*	5*	013: PPBoost						5		True
3* Hat		smeargle	True	False					B	*	4*	041: TrapBuster								True
1* Card		smeargle	True	False					C	*	1*	094: PPSaver								True
1* Hair		smeargle	True	False					D	*	2*	062: FastFriend								True
2* Key		smeargle	True	False					E	*	3*	032: StairSensor								True
2* Coin		smeargle	False	False					F	*	3*	066: ShopFinder								True
0* None	Rainbow Veil	ho_oh	True	False		ho_oh_beasts			A	EB	5*	020: AllyReviver								True
0* None	Rainbow Wing	ho_oh	True	False		ho_oh_beasts			B	IMQF	4*	044: WandSpread								True
2* Dust		ho_oh	True	False		ho_oh_beasts			C		1*	094: PPSaver								True
2* Tag		ho_oh	True	False		ho_oh_beasts			D		2*	084: HitAndRun								True
0* None	Rainbow Brooch	ho_oh	True	False		ho_oh_beasts			E	CD	3*	053: ClutchPerformer								True
0* None	Clear Wing	ho_oh	True	False		ho_oh_beasts			F		2*	039: WideAttack								True
0* None	Bolt Fang	raikou	True	False		ho_oh_beasts			G	HS	5*	086: StatusOnCategoryUse		electrified			003: Status			True
2* Ring		raikou	True	False		ho_oh_beasts			H	IJ	3*	038: LungeAttack								True
1* Beam		raikou	True	False		ho_oh_beasts			I		1*	026: SureHitAttacker								True
1* Card		raikou	True	False		ho_oh_beasts			J		2*	051: BarrageGuard								True
0* None	Flare Fang	entei	True	False		ho_oh_beasts			K	LS	5*	085: StatusOnCategoryHit		magma_storm			003: Status			True
2* Ring		entei	True	False		ho_oh_beasts			L	MN	3*	069: GapProber								True
1* Beam		entei	True	False		ho_oh_beasts			M		1*	018: DoubleAttacker								True
1* Card		entei	True	False		ho_oh_beasts			N		2*	052: BetterOdds								True
0* None	Aqua Mantle	suicune	True	False		ho_oh_beasts			O	PS	5*	086: StatusOnCategoryUse		mirror_coat			003: Status			True
2* Ring		suicune	True	False		ho_oh_beasts			P	QR	3*	028: StatusImmune		paralyze						True
1* Beam		suicune	True	False		ho_oh_beasts			Q		1*	084: HitAndRun								True
1* Card		suicune	True	False		ho_oh_beasts			R		2*	033: AcuteSniffer								True
0* None	Sacred Collar	suicune	True	False	raikou, entei, suicune	ho_oh_beasts			S		4*	068: TypedAttack								True
0* None		suicune	True	False	raikou, entei, suicune	ho_oh_beasts			T		3*	000: None								True
