Monster	Skill	Intrinsic	Status	AI	Item	Role
psyduck	aurora_veil					
pumpkaboo	sinister_arrow_raid					
pupitar	malicious_moonsault					
purrloin	oceanic_operetta					
purugly	guardian_of_alola					
pyroar	soul_stealing_7_star_strike					
pyukumuku	stoked_sparksurfer					
quagsire	pulverizing_pancake					
quaquaval	extreme_evoboost					
quaxly	genesis_supernova					
quaxwell	shell_trap					
quilava	fleur_cannon					
quilladin	psychic_fangs					
qwilfish	stomping_tantrum					
raboot	shadow_bone					
rabsca	accelerock					
raichu	liquidation					
raikou	prismatic_laser					
ralts	spectral_thief					
rampardos	sunsteel_strike					
rapidash	moongeist_beam					
raticate	tearful_look					
rattata	zing_zap					
rayquaza	natures_madness					
regice	multi_attack					
regidrago	ten_million_volt_thunderbolt					
regieleki	mind_blown					
regigigas	plasma_fists					
regirock	photon_geyser					
registeel	light_that_burns_the_sky					
relicanth	searing_sunraze_smash					
rellor	menacing_moonraze_maelstrom					
remoraid	lets_snuggle_forever					
reshiram	splintered_stormshards					
reuniclus	clangorous_soulblaze					
revavroom	zippy_zap					
rhydon	splishy_splash					
rhyhorn	floaty_fall					
rhyperior	pika_papow					
ribombee	bouncy_bubble					
rillaboom	buzzy_buzz					
riolu	sizzly_slide					
roaring_moon	glitzy_glow					
rockruff	baddy_bad					
roggenrola	sappy_seed					
rolycoly	freezy_frost					
rookidee	sparkly_swirl					
roselia	veevee_volley					
roserade	double_iron_bash					
rotom	max_guard					
rowlet	dynamax_cannon					
rufflet	snipe_shot					
runerigus	jaw_lock					
sableye	stuff_cheeks					
salamence	no_retreat					
salandit	tar_shot					
salazzle	magic_powder					
samurott	dragon_darts					
sandaconda	teatime					
sandile	octolock					
sandshrew	bolt_beak					
sandslash	fishious_rend					
sandy_shocks	court_change					
sandygast	max_flare					
sawk	max_flutterby					
sawsbuck	max_lightning					
scatterbug	max_strike					
sceptile	max_knuckle					
scizor	max_phantasm					
scolipede	max_hailstorm					
scorbunny	max_ooze					
scovillain	max_geyser					
scrafty	max_airstream					
scraggy	max_starfall					
scream_tail	max_wyrmwind					
scyther	max_mindstorm					
seadra	max_rockfall					
seaking	max_quake					
sealeo	max_darkness					
seedot	max_overgrowth					
seel	max_steelspike					
seismitoad	clangorous_soul					
sentret	body_press					
serperior	decorate					
servine	drum_beating					
seviper	snap_trap					
sewaddle	pyro_ball					
sharpedo	behemoth_blade					
shaymin	behemoth_bash					
shedinja	aura_wheel					
shelgon	breaking_swipe					
shellder	branch_poke					
shellos	overdrive					
shelmet	apple_acid					
shieldon	grav_apple					
shiftry	spirit_break					
shiinotic	strange_steam					
shinx	life_dew					
shroodle	obstruct					
shroomish	false_surrender					
shuckle	meteor_assault					
shuppet	eternabeam					
sigilyph	steel_beam					
silcoon	expanding_force					
silicobra	steel_roller					
silvally	scale_shot					
simipour	meteor_beam					
simisage	shell_side_arm					
simisear	misty_explosion					
sinistea	grassy_glide					
sirfetchd	rising_voltage					
sizzlipede	terrain_pulse					
skarmory	skitter_smack					
skeledirge	burning_jealousy					
skiddo	lash_out					
skiploom	poltergeist					
skitty	corrosive_gas					
skorupi	coaching					
skrelp	flip_turn					
skuntank	triple_axel					
skwovet	dual_wingbeat					
slaking	scorching_sands					
slakoth	jungle_healing					
sliggoo	wicked_blow					
slither_wing	surging_strikes					
slowbro	thunder_cage					
slowking	dragon_energy					
slowpoke	freezing_glare					
slugma	fiery_wrath					
slurpuff	thunderous_kick					
smeargle	glacial_lance					
smoliv	astral_barrage					
smoochum	eerie_spell					
sneasel	dire_claw					
sneasler	psyshield_bash					
snivy	power_shift					
snom	stone_axe					
snorlax	springtide_storm					
snorunt	mystical_power					
snover	raging_fury					
snubbull	wave_crash					
sobble	chloroblast					
solgaleo	mountain_gale					
solosis	victory_dance					
solrock	headlong_rush					
spearow	barb_barrage					
spectrier	esper_wing					
spewpa	bitter_malice					
spheal	shelter					
spidops	triple_arrows					
spinarak	infernal_parade					
spinda	ceaseless_edge					
spiritomb	bleakwind_storm					
spoink	wildbolt_storm					
sprigatito	sandsear_storm					
spritzee	lunar_blessing					
squawkabilly	take_heart					
squirtle	tera_blast					
stakataka	silk_trap					
stantler	axe_kick					
staraptor	last_respects					
staravia	lumina_crash					
starly	order_up					
starmie	jet_punch					
staryu	spicy_extract					
steelix	spin_out					
steenee	population_bomb					
stonjourner	ice_spinner					
stoutland	glaive_rush					
stufful	revival_blessing					
stunfisk	salt_cure					
stunky	triple_dive					
sudowoodo	mortal_spin					
suicune	doodle					
sunflora	fillet_away					
sunkern	kowtow_cleave					
surskit	flower_trick					
swablu	torch_song					
swadloon	aqua_step					
swalot	raging_bull					
swampert	make_it_rain					
swanna	psyblade					
swellow	hydro_steam					
swinub	ruination					
swirlix	collision_course					
swoobat	electro_drift					
sylveon	shed_tail					
tadbulb	chilly_reception					
taillow	tidy_up					
talonflame	snowscape					
tandemaus	pounce					
tangela	trailblaze					
tangrowth	chilling_water					
tapu_bulu	hyper_drill					
tapu_fini	twin_beam					
tapu_koko	rage_fist					
tapu_lele	armor_cannon					
tarountula	bitter_blade					
tatsugiri	double_shock					
tauros	gigaton_hammer					
teddiursa	comeuppance					
tentacool	aqua_cutter					
tentacruel	blazing_torque					
tepig	wicked_torque					
terrakion	noxious_torque					
thievul	combat_torque					
throh	magical_torque					
thundurus						
thwackey						
timburr						
ting_lu						
tinkatink						
tinkaton						
tinkatuff						
tirtouga						
toedscool						
toedscruel						
togedemaru						
togekiss						
togepi						
togetic						
torchic						
torkoal						
tornadus						
torracat						
torterra						
totodile						
toucannon						
toxapex						
toxel						
toxicroak						
toxtricity						
tranquill						
trapinch						
treecko						
trevenant						
tropius						
trubbish						
trumbeak						
tsareena						
turtonator						
turtwig						
tympole						
tynamo						
type_null						
typhlosion						
tyranitar						
tyrantrum						
tyrogue						
tyrunt						
umbreon						
unfezant						
unown						
ursaluna						
ursaring						
urshifu						
uxie						
vanillish						
vanillite						
vanilluxe						
vaporeon						
varoom						
veluza						
venipede						
venomoth						
venonat						
venusaur						
vespiquen						
vibrava						
victini						
victreebel						
vigoroth						
vikavolt						
vileplume						
virizion						
vivillon						
volbeat						
volcanion						
volcarona						
voltorb						
vullaby						
vulpix						
wailmer						
wailord						
walking_wake						
walrein						
wartortle						
watchog						
wattrel						
weavile						
weedle						
weepinbell						
weezing						
whimsicott						
whirlipede						
whiscash						
whismur						
wigglytuff						
wiglett						
wimpod						
wingull						
wishiwashi						
wo_chien						
wobbuffet						
woobat						
wooloo						
wooper						
wormadam						
wugtrio						
wurmple						
wynaut						
wyrdeer						
xatu						
xerneas						
xurkitree						
yamask						
yamper						
yanma						
yanmega						
yungoos						
yveltal						
zacian						
zamazenta						
zangoose						
zapdos						
zarude						
zebstrika						
zekrom						
zeraora						
zigzagoon						
zoroark						
zorua						
zubat						
zweilous						
zygarde						
						
