Key	Comment	EN	FR	DE	ES	PT	IT	KO	JA	JA-JP	ZH-HANS	ZH-HANT	RU	LT
ExclusiveItemEffect.Absorption		When kept in the bag, the Pokémon will regain HP after defeating an enemy.		Wenn es innerhalb des Beutels getragen wird, regenieren sich die KP des Pokémons nachdem es einen Gegner besiegt hat. 	Al llevarlo en la bolsa, el Pokémon regenerará PS tras derrotar a un enemigo.		Quando tenuto in borsa, il Pokémon guadagnerà PS dopo aver sconfitto un nemico.				放在包里时，击败对手后会回复HP。		
ExclusiveItemEffect.StatusOnCategoryHit		When kept in the bag, the Pokémon's {1} moves inflict the {0} status.		Wenn es innerhalb des Beutels getragen wird, verursachen {1} Attacken des Pokémon das Statusproblem {0}.							放在包里时，{1}招式会造成{0}状态。		
ExclusiveItemEffect.StatusOnCategoryUse		When kept in the bag, the Pokémon gains the {0} status after using a {1} move.		Wenn es innerhalb des Beutels getragen wird, erhält das Pokémon den Status {0} nachdem es eine {1}-Attacke verwendet.							放在包里时，使用{1}招式后会获得{0}状态。		
ExclusiveItemEffect.StatusOnTypeHit		When kept in the bag, the Pokémon's {0}-type moves inflict the {1} status.		Wenn es innerhalb des Beutels getragen wird, verursachen {1}-Typ Attacken des Pokémon das Statusproblem {0}.							放在包里时，{0}属性招式会造成{1}状态。		
ExclusiveItemEffect.StatusSplash		When kept in the bag, the Pokémon's stat-changing moves are spread to allies.		Wenn es innerhalb des Beutels getragen wird, werden die Attacken vom Pokémon, welche Statusveränderungen verursachen, an Verbündete weitergegeben.							放在包里时，使用能力变化的招式效果会传播给队友。		
ExclusiveItemEffect.SuperCrit		When kept in the bag, it raises the critical-hit ratio of super-effective hits.		Wenn es innerhalb des Beutels getragen wird, erhöht sich die kritische Trefferchance von sehr effektiven Treffern des Pokémon.							放在包里时，效果绝佳的招式会更容易击中要害。		
ExclusiveItemEffect.SureHitAttacker		When kept in the bag, the Pokémon's regular attack cannot miss.		Wenn es innerhalb des Beutels getragen wird, verfehlen reguläre Angriffe des Pokémon ihr Ziel nicht.							放在包里时，普通攻击一定会命中。		
ExclusiveItemEffect.SweetDreams		When kept in the bag, the Pokémon gradually restores the HP of its teammates while they are asleep.		Wenn es innerhalb des Beutels getragen wird, werden die KP von schlafenden Verbündeten des Pokémon schrittweise geheilt.							放在包里时，当队友睡着时会逐渐回复它们的HP。		
ExclusiveItemEffect.ThrowOnAttack		When kept in the bag, the Pokémon's regular attack will throw opponents back.		Wenn es innerhalb des Beutels getragen wird, stoßen reguläre Angriffe des Pokémon Gegner zurück.							放在包里时，使用普通攻击可以将对手扔回。		
ExclusiveItemEffect.TrapBuster		When kept in the bag, the Pokémon's moves will destroy traps.		Wenn es innerhalb des Beutels getragen wird, zerstören die Attacken des Pokémon Fallen.							放在包里时，可以使用招式破坏陷阱。		
ExclusiveItemEffect.TypeBodyguard		When kept in the bag, the Pokémon will step in to take {0}-type attacks for nearby allies.		Wenn es innerhalb des Beutels getragen wird, übernimmt das Pokémon Schaden vom Typ {0} von nahen Verbündeten.							放在包里时，这只宝可梦会替附近的队友抵挡{0}属性攻击。		
ExclusiveItemEffect.TypeBulldozer		When kept in the bag, it allows {0}-type moves to hit {1}-type Pokémon.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon mit Attacken vom Typ {0} Schaden bei {1}-Typ Pokémon anrichten.							放在包里时，{0}属性招式可以击中{1}属性宝可梦。		
ExclusiveItemEffect.TypedAttack		When kept in the bag, the Pokémon's regular attacks change to match its type.		Wenn es innerhalb des Beutels getragen wird, entspricht der Typ der regulären Angriffe des Pokémon dem Typ des Pokémon selbst.							放在包里时，普通攻击的属性会与自身属性匹配。		
ExclusiveItemEffect.TypeGroupWeaknessReduce		When kept in the bag, it reduces damage done to {0}-type members by {1}-type attacks, based on how many are on the team.		Wenn es innerhalb des Beutels getragen wird, wird der Schaden von {1}-Typ Angriffen auf {0}-Typ Teammitgliedern reduziert, abhängig davon wie viele im Team sind.							放在包里时，会根据队员数减少{1}属性攻击对{0}属性队员的伤害。		
ExclusiveItemEffect.TypeSpeedBoost		When kept in the bag, it boosts the Movement Speed of {0}-type members that have no status conditions.		Wenn es innerhalb des Beutels getragen wird, erhöht sich die Bewegungsgeschwindigkeit von {0}-Typ Teammitgliedern, die keine Statusprobleme haben.							放在包里时，会提高没有异常状态的{0}属性队友的移动速度。		
ExclusiveItemEffect.TypeStatBonus		When kept in the bag, it slightly boosts the {1} of {0}-type members.		Wenn es innerhalb des Beutels getragen wird, erhöht es den {1}-Wert von Teammitgliedern des Typen {0} ein wenig.							放在包里时，会提高{0}属性队员的{1}。		
ExclusiveItemEffect.Wallbreaker	Works only for moves that hit in front and dash moves. Ex. https://i.imgur.com/iFXJbDM.mp4	When kept in the bag, some of the Pokémon's moves will break walls.		Wenn es innerhalb des Beutels getragen wird, können einige Attacken des Pokémon Wände zerbrechen.							放在包里时，宝可梦的一些招式可以打碎墙壁。		
ExclusiveItemEffect.WandMaster		When kept in the bag, the effects of wands will fly in an arc when waved by the Pokémon.		Wenn es innerhalb des Beutels getragen wird, fliegen Effekte von Zweigen in Bogenform, wenn das Pokémon sie nutzt.							放在包里时，魔杖的效果会以弧形飞行。		
ExclusiveItemEffect.WandSpread		When kept in the bag, the effects of wands will spread out like a fan when waved by the Pokémon.		Wenn es innerhalb des Beutels getragen wird, verteilten sich Effekte von Zweigen in Fächerform, wenn das Pokémon sie nutzt.							放在包里时，挥动魔杖，魔杖的效果会像扇子一样散开。		
ExclusiveItemEffect.WarpPayback		When kept in the bag, it warps the attackers away when the Pokémon is hit with a {0}-type move.		Wenn es innerhalb des Beutels getragen wird, werden Angreifer weg teleportiert, wenn sie das Pokémon mit {0}-Typ Attacken treffen.							放在包里时，受到{0}属性攻击时，会将攻击者传送走。		
ExclusiveItemEffect.WaterTerrain		When kept in the bag, the Pokémon can traverse water.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon Wasser durchqueren.							放在包里时，可以穿越水。		
ExclusiveItemEffect.WeaknessPayback		When kept in the bag, it inflicts the {1} status on the attacker when the Pokémon is hit with a {0}-type move.		Wenn es innerhalb des Beutels getragen wird, erhalten Angreifer den Statuseffekt {1}, wenn sie das Pokémon mit {0}-Typ Attacken treffen.							放在包里时，受到{0}属性攻击后，会使对手陷入{1}状态。		
ExclusiveItemEffect.WeaknessReduce		When kept in the bag, it reduces damage done by {0}-type attacks.		Wenn es innerhalb des Beutels getragen wird, reduziert es den Schaden von {0}-Typ Angriffen.							放在包里时，减少受到的{0}属性招式伤害。		
ExclusiveItemEffect.WeatherProtection		When kept in the bag, the Pokémon is protected from weather damage.		Wenn es innerhalb des Beutels getragen wird, ist das Pokémon durch Schaden von Wettereffekten geschützt.							放在包里时，不会被天气伤害。		
ExclusiveItemEffect.WideAttack		When kept in the bag, the Pokémon's regular attack will hit the front and sides.		Wenn es innerhalb des Beutels getragen wird, treffen reguläre Angriffe des Pokémon die Felder direkt und diagonal vor sich. 							放在包里时，普通攻击可以攻击前方和侧面。		
ExclusiveItemEffect.XRay		When kept in the bag, it allows the Pokémon to see foes and items in heavy darkness.		Wenn es innerhalb des Beutels getragen wird, kann das Pokémon Gegner und Items in der tiefsten Dunkelheit sehen.							放在包里时，可以在黑暗中看到对手和道具。		
