Key	Comment	EN	FR	DE	ES	PT	IT	KO	JA	JA-JP	ZH-HANS	ZH-HANT	RU
0000-all_protect-0000|data.Name		All Protect					Proteggitutti				全面保护																	
0000-flying-0001|data.Desc		The Pokémon is flying and can avoid most moves and obstacles. It will drop back down in a few turns, or when it chooses to attack.	Le Pokémon vole et évite ainsi la plupart des attaques et obstacles. Il revient au sol après plusieurs tours ou lorqu'il choisit d'attaquer.	Das Pokémon fliegt und kann dadurch den meisten Angriffen und Hindernissen ausweichen. Es kommt entweder in einigen Zügen zurück oder wenn es sich entscheidet anzugreifen.	El Pokémon está volando y puede esquivar muchos movimientos y obstáculos. Descenderá en unos turnos, o cuando decida atacar.		Il Pokémon vola in cielo ed evita la maggior parte delle mosse e degli ostacoli. Riappare dopo un po' di turni o quando sceglie di attaccare.				这只宝可梦正在飞翔，可以躲避大多数招式和障碍。在几回合后或主动选择攻击后落回地面。																	
0000-focus_energy-0000|data.Name		Focus Energy	Puissance	Energiefokus	Foco Energía		Focalenergia				聚气																	
0000-focus_energy-0001|data.Desc		The Pokémon is focused and can land critical hits more easily. This status wears off after many turns have passed.	Le Pokémon est concentré et a plus de chance de faire des coups critiques. Ce statut disparaît après plusieurs tours.	Das Pokémon ist fokussiert und kann somit leichter kritische Treffer landen. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está concentrado y puede conseguir golpes críticos más fácilmente. Este estado desaparece tras pasar unos turnos.		Il Pokémon si concentra e ha più probabilità di causare brutti colpi. Questo stato svanisce dopo diversi turni.				这只宝可梦正在集中精神，更容易击中要害。该状态在大量回合后解除。																	
0000-follow_me-0000|data.Name		Follow Me	Par Ici	Spotlight	Señuelo		Sonoqui				万众瞩目																	
0000-follow_me-0001|data.Desc		The Pokémon is the center of attention and will redirect any attack targetting its allies. This status wears off after a few turns.	Le Pokémon devient le centre d'attention et redirige vers lui les attaques ciblant ses alliés. Ce statut disparaît après quelques tours.	Das Pokémon wird zum Zentrum der Aufmerksamkeit und jede Attacke, die an seine Verbündete gerichtet wären, werden auf dieses gelenkt. Dieser Status lässt nach einigen Zügen nach.	El Pokémon es el centro de atención y redigirá cualquier ataque dirigido a sus aliados. Este estado desaparece tras unos turnos.		Il Pokémon è al centro dell'attenzione e indirizza verso di lui tutti gli attacchi rivolti agli alleati. Questo stato svanisce dopo un po' di turni.				这只宝可梦成为了关注的焦点，对准队友的攻击都会被吸引至自身。该状态在几回合后解除。																	
0000-freeze-0000|data.Name		Frozen	Gelé	Eingefroren	Congelado	Congelado	Congelamento				冰冻																	
0000-freeze-0001|data.Desc		The Pokémon is frozen and incapable of acting or being affected by moves. This status wears off after a few turns, or if the Pokémon is hit by a Fire-type attack.	Le Pokémon est gelé et incapable d'effectuer la moindre action ou d'être touché par une attaque. Ce statut disparaît après quelques tours ou si le Pokémon subit une attaque de type Feu.	Das Pokémon ist eingefroren und kann weder Attacken ausführen noch von ihnen betroffen werden. Dieser Status lässt entweder nach einigen Zügen nach oder falls das Pokémon von einer Attacke vom Typ Feuer getroffen wird.	El Pokémon está congelado e incapaz de realizar acciones o ser afectado por movimientos. Este estado desaparece tras unos turnos, o si el Pokémon es golpeado por un ataque de tipo Fuego.	O Pokémon está congelado e incapaz de realizar ações ou ser afetado por golpes. Esse efeito desaparece após alguns turnos, ou se o Pokémon for atingido por um golpe tipo Fogo.	Il Pokémon è congelato e incapace di muoversi o di essere affetto dalle mosse. Questo stato svanisce dopo un po' di turni o quando il Pokémon viene colpito da una mossa di tipo Fuoco.				这只宝可梦处于冰冻状态，无法行动且不能被招式影响。该状态在几回合后或被火属性招式攻击后解除。																	
0000-friendly_fire-0000|data.Name		Friendly Fire					Fuoco Amico																					
0000-friendly_fire-0001|data.Desc																												
0000-future_sight-0000|data.Name		Future Sight	Prescience	Seher	Premonición		Divinazione				预知未来																	
0000-future_sight-0001|data.Desc		The Pokémon will be attacked a few turns in the future. Nearby allies will also take splash damage when the attack hits.	Le Pokémon sera attaqué DANS LE FUTUR! Ce qui ne représente en fait que quelques tours... Les alliés proches subiront quelques dégâts quand l'attaque frappera.	Das Pokémon wird in der nahen Zukunft angegriffen. Sich in der Nähe befindene Verbündete des Ziels erhalten auch Schaden wenn die Attacke trifft.	El Pokémon será atacado en unos turnos en el futuro. Aliados cercanos recibirán daño por salpicadura cuando el ataque impacte.		Il Pokémon viene attaccatto dopo un po' di turni. Gli alleati vicini vengono allontanati quando l'attacco colpisce.				这只宝可梦将在未来的几回合内受到攻击。当攻击命中时，附近的同伴也会受到溅射伤害。																	
0000-grass_pledge-0000|data.Name		Grass Pledge	Aire d'Herbe	Pflanzensäulen			Erbapatto				草之誓约																	
0000-grass_pledge-0001|data.Desc		The Pokémon is ready to unleash a follow-up attack whenever a foe is attacked. This status wears off after a few turns.	Le Pokémon est prêt à libérer une attaque suivie dès qu'un ennemi est attaqué. Ce statut disparaît après quelques tours.	Das Pokémon ist bereit jedes Mal, wenn ein Gegner angegriffen wird, eine nachfolgende Attacke einzusetzen. Dieser Status lässt nach einigen Zügen nach.			Il Pokémon è pronto a sferrare un ulteriore attacco non appena un nemico viene attaccato. Questo stato svanisce dopo un po' di turni.				这只宝可梦随时准备在对手受到攻击后发动后续攻击。该状态在几回合后解除。																	
0000-grudge-0000|data.Name		Grudge	Rancune	Nachspiel	Rabia		Rancore				怨念																	
0000-grudge-0001|data.Desc		Enemies that damage this Pokémon with attacks will have all their moves lose PP. This status wears off after many turns have passed.	Les ennemis qui attaquent ce Pokémon perdront des PP sur toutes leurs capacités. Ce statut disparaît après plusieurs tours.	Wenn diesem Pokémon mit einer Attacke Schaden zugefügt wird, verlieren alle Attacken vom angreifenden Pokémon AP. Dieser Status lässt erst nach vielen Zügen nach.	Enemigos que dañen a este Pokémon con ataques hará que todos sus movimientos pierdan PP. Este estado desaparece tras pasar unos turnos.		I nemici che arrecano danno al Pokémon con un attacco perdono tutti i PP della mossa. Questo effetto svanisce dopo diversi turni.				攻击这只宝可梦的对手会失去所有招式的PP。该状态在大量回合后解除。																	
0000-heal_block-0000|data.Name		Heal Block	Anti-Soin	Heilblockade	Anticura		Anticura				回复封锁																	
0000-heal_block-0001|data.Desc		The Pokémon is prevented from restoring its HP. This status wears off after many turns have passed.	Le Pokémon ne peut pas soigner ses PV. Ce statut disparaît après plusieurs tours.	Das Pokémon kann keine KP regenerieren. Dieser Status lässt nach vielen Zügen nach.	El Pokémon está incapacitado de recuperar sus PS. Este estado desaparece tras pasar varios turnos.		Impedisce al Pokémon di recuperare PS. Questo effetto svanisce dopo diversi turni.				这只宝可梦无法回复HP。该状态在大量回合后解除。																	
0000-illusion-0000|data.Name		Illusion	Illusion	Trugbild	Ilusión		Illusione				幻觉																	
0000-illusion-0001|data.Desc		The Pokémon has disguised itself as a different Pokémon. Wild Pokémon of the same species will not attack it.					Il Pokémon assume le sembianze di un'altra specie. I Pokémon selvatici della stessa specie non lo attaccheranno.				这只宝可梦伪装成了其他的宝可梦。同一物种的野生宝可梦不会攻击它。																	
0000-immobilized-0000|data.Name		Immobilized	Immobilisé	Bewegungsunfähig	Inmovilizado		Immobilizzato				禁足																	
0000-immobilized-0001|data.Desc		The Pokémon is immobilized and cannot move. This status wears off after a few turns.	Le Pokémon est immobilisé et ne peut pas bouger. Ce statut disparaît après quelques tours.	Das Pokémon ist bewegungsunfähig und kann sich nicht bewegen. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está inmovilizado y no se puede mover. Este estado desaparece tras unos turnos.		Il Pokémon è immobilizzato e non può muoversi. Questo stato svanisce dopo un po' di turni.				这只宝可梦被禁锢住了，无法移动。该状态在几回合后解除。																	
0000-in_love-0000|data.Name		In Love	Amoureux	Verliebt	Enamorado		Attrazione				着迷																	
0000-in_love-0001|data.Desc		The Pokémon is infatuated with the enemy and cannot target it with any moves or items. This status wears off after a few turns.	Le Pokémon est sous le charme de l'ennemi et ne peut pas attaquer ou utiliser d'objet. Ce statut disparaît après quelque tours.	Das Pokémon ist in den Gegner verliebt und kann es nicht als Ziel für Attacken oder Items auswählen. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está enamorado del enemigo y no puede atacarlo ni con movimientos ni con objetos. Este estado desaparece tras unos turnos.		Il Pokémon è innamorato del nemico e non può colpirlo con nessuna mossa o strumento. Questo stato svanisce dopo un po' di turni.				这只宝可梦着迷了，无法对着对手使用任何招式或道具。该状态在几回合后解除。																	
0000-infestation-0000|data.Name		Infestation	Harcèlement	Plage	Acoso		Assillo				死缠烂打																	
0000-infestation-0001|data.Desc		The Pokémon is trapped by an infestation, taking gradual damage and preventing it from moving. This status wears off after a few turns.	Le Pokémon est harcelé par l'ennemi, il subit régulièrement des dégâts et ne peut pas bouger. Ce statut disparaît après quelques tours.	Das Pokémon wird von einer Plage heimgesucht, wodurch es stetig Schaden erhält und es sich nicht fortbewegen kann. Dieser Status lässt nach einigen Zügen nach.	El Pokémon es atrapado en una plaga, recibiendo daño gradual e impidiendo moverse. Este estado desaparece tras unos turnos.		Il Pokémon è intrappolato in una tormenta dove subisce danni un po' alla volta e non è in grado di muoversi. Questo stato svanisce dopo un po' di turni.				这只宝可梦正在被纠缠，逐渐受到伤害且无法移动。该状态在几回合后解除。																	
0000-ingrain-0000|data.Name		Ingrain	Racines	Verwurzelt	Arraigo		Radicamento				扎根																	
0000-ingrain-0001|data.Desc		The Pokémon's roots are planted in the ground, gradually restoring its HP and preventing it from moving. This status wears off after a few turns.	Les racines du Pokémon puisent les nutriments du sol ce qui restaure régulièrement ses PV mais l'empêche de bouger. Ce statut disparaît après quelques tours.	Die Wurzeln des Pokémon sind in den Boden gepflanzt, wodurch es stetig KP regeneriert und seine Bewegungen verhindert werden. Dieser Status lässt nach einigen Zügen nach.	Las raíces del Pokémon son plantados en el suelo, gradualmente recuperando sus PS e impidiendo moverse. Este estado desaparece tras unos turnos.		Le radici del Pokémon si piantano nel terreno e ripristinano i suoi PS un po' alla volta, impedendogli di muoversi. Questo stato svanisce dopo un po' di turni.				这只宝可梦正在扎根，会逐渐回复HP且无法移动。该状态在几回合后解除。																	
0000-invisible-0000|data.Name		Invisible	Invisible				Invisibile				隐身																	
0000-invisible-0001|data.Desc		The Pokémon is invisible and cannot be seen by other Pokémon. This status wears off after a few turns.					Il Pokémon è invisibile e non può essere visto dagli altri. Questo stato svanisce dopo un po' di turni.				这只宝可梦隐身了，无法被其它宝可梦看见。该状态在几回合后解除。																	
0000-kings_shield-0000|data.Name		King's Shield					Scudo Reale				王者盾牌																	
0000-kings_shield-0001|data.Desc		The Pokémon is protected from all damaging moves. This status wears off after a few turns, or if the Pokémon attacks.					Il Pokémon è protetto da tutti gli attacchi che arrecano danno. Questo stato svanisce dopo un po' di turni o se il Pokémon attacca.				这只宝可梦受到了保护，不会受到任何伤害。该状态在几回合后，或宝可梦攻击后解除。																	
0000-last_ally_move-0000|data.Name		Last Ally Move	Dernière Capacité Alliée	Letzte Verbündetenattacke	Último Movimiento Aliado		Ultima mossa dell'alleato				上一个队伍成员使用的招式																	
0000-last_ally_move-0001|data.Desc																												
0000-last_move_hit_by_other-0000|data.Name		Last Move Hit By Other									上一次被命中的招式																	
0000-last_move_hit_by_other-0001|data.Desc																												
0000-last_targeted_by-0000|data.Name		Last Targeted By	Dernière Cible	Zuletzt als Ziel gewählt von	Último Objetivo		Ultimo bersaglio				上一次选作目标是被																	
0000-last_targeted_by-0001|data.Desc																												
0000-last_used_move-0000|data.Name		Last Used Move	Dernière capacité utilisée	Zuletzt verwendete Attacke	Último Movimiento Usado		Ultima mossa usata				上一次使用的招式																	
0000-last_used_move-0001|data.Desc																												
0000-last_used_move_slot-0000|data.Name		Last Used Move Slot	Dernier Emplacement Capacité Utilisée	Zuletzt verwendeter Attackenslot	Ranura Último Movimiento Usado		Spazio dell'ultima mossa usata				上一次使用的招式槽																	
0000-last_used_move_slot-0001|data.Desc																												
0000-leech_seed-0000|data.Name		Leech Seed	Vampigraine	Egelsamen	Drenadoras		Parassiseme				寄生种子																	
0000-leech_seed-0001|data.Desc		The Pokémon's HP is sapped and given to a foe every turn. This status wears off if there are no foes around.	Les PV du Pokémon sont drainés et absorbé par l'ennemi à chaque tour. Ce statut disparaît si il n'y plus d'ennemis aux alentours.	Die KP des Pokémon werden in jedem Zug aufgezehrt und an einen Gegner weitergegeben. Dieser Status lässt nach, sobald keine Gegner in der Nähe sind. 	Los PS del Pokémon son absorbidos y dados a un enemigo cada turno. Este estado desaparece si no hay enemigos alrededor.		I PS del Pokémon vengono assorbiti e ceduti al nemico ogni turno. Questo stato svanisce quando non sono più presenti nemici accanto al Pokémon.				这只宝可梦会被夺取HP并将其分给一个对手。如果周围没有对手，该状态解除。																	
0000-light_screen-0000|data.Name		Light Screen	Mur Lumière	Lichtschild	Pantalla de luz		Schermoluce				光墙																	
0000-light_screen-0001|data.Desc		The Pokémon takes half damage from special attacks. This status wears off after a few turns.		Das Pokémon erhält nur noch halben Schaden von speziellen Attacken. Dieser Status lässt nach einigen Zügen nach.	El Pokémon recibe la mitad del daño de los ataques Especiales. Este estado desaparece tras unos turnos.		Il danno subito dagli attacchi speciali è dimezzato. Questo stato svanisce dopo un po' di turni.				这只宝可梦受到的特殊攻击减半。该状态在几回合后解除。																	
0000-lucky_chant-0000|data.Name		Lucky Chant	Air Veinard	Beschwörung	Conjuro		Fortuncanto				幸运咒语																	
0000-lucky_chant-0001|data.Desc		The Pokémon is protected from critical hits and the additional effects of attacking moves. This status wears off after many turns have passed.	Le Pokémon est protégé des coups critiques et des effets secondaires des attaques ennemies. Ce statut disparaît après plusieurs tours.	Das Pokémon ist gegen kritische Treffer und von zusätzlichen Effekten von Angriffen geschützt. Dieser Status lässt erst nach vielen Zügen nach.	El Pokémon está protegido de golpes críticos y los efectos adicionales de los movimientos de ataque. Este estado desaparece tras pasar unos turnos.		Il Pokémon è protetto dai brutti colpi e dagli effetti aggiuntivi delle mosse che arrecano danno. Questo stato svanisce dopo diversi turni.				这只宝可梦受到了保护，不会被击中要害，也不会发动追加效果。该状态在大量回合后解除。																	
0000-magic_coat-0000|data.Name		Magic Coat	Reflet Magik	Magiemantel	Capa Mágica		Magivelo				魔法反射																	
0000-magic_coat-0001|data.Desc		The Pokémon will reflect any moves that inflict status back at the user. This status wears off after a few turns.	Le Pokémon va refletter n'importe quelle capacité infligeant un statut sur l'envoyeur. Ce statut disparaît après quelques tours.	Das Pokémon reflektiert jede Attacke, die Statusprobleme verursacht, zurück an den Nutzer. Dieser Status lässt nach einigen Zügen nach.	El Pokémon reflejará todo movimiento que cause estados al usuario. Este estado desaparece tras unos turnos.		Il Pokémon restituisce al mittente gli effetti delle mosse che causano problemi di stato. Questo stato svanisce dopo un po' di turni.				这只宝可梦会反弹对自己造成异常状态的变化招式。该状态在几回合后解除。																	
0000-magma_storm-0000|data.Name		Magma Storm	Vortex Magma	Lavasturm	Lluvia Ígnea		Magmaclisma				熔岩风暴																	
0000-magma_storm-0001|data.Desc		The Pokémon is trapped by a vortex of magma, taking gradual damage and preventing it from moving. This status wears off after a few turns.	Le Pokémon est piégé dans un votex de magma, il subit régulièrement des dégâts et ne peut pas bouger. Ce statut disparaît après quelques tours.	Das Pokémon ist in einem Wirbel aus Magma gefangen, wodurch es stetig Schaden erhält und es sich nicht fortbewegen kann. Dieser Status lässt nach einigen Zügen nach.	El Pokémon es atrapado en un vórtice de magma, recibiendo daño gradual e impidiendo moverse. Este estado desaparece tras unos turnos.		Il Pokémon è intrappolato in un vortice di magma dove subisce danni un po' alla volta e non è in grado di muoversi. Questo stato svanisce dopo un po' di turni.				这只宝可梦困住了熔岩旋涡中，逐渐受到伤害且无法移动。该状态在几回合后解除。																	
0000-magnet_rise-0000|data.Name		Magnet Rise	Vol Magnétik	Magnetflug	Levitón		Magnetascesa				电磁飘浮																	
0000-magnet_rise-0001|data.Desc		The Pokémon is levitating with electromagnetism, allowing it to avoid Ground-type attacks. This status wears off after many turns have passed.	Le Pokémon lévite par électromagnétisme, ce qui lui permet d'éviter les attaques de type Sol. Ce statut disparaît après plusieurs tours.	Das Pokémon schwebt dank Elektromagnetismus, wodurch es Boden-Attacken ausweicht. Dieser Status lässt nach vielen Zügen nach.	El Pokémon está levitando con electromagnetismo, permitiendo evitar ataques de tipo Tierra. Este estado desaparece tras pasar varios turnos.		Il Pokémon levita grazie all'elettromagnetismo, permettendogli di evitare gli attacchi di tipo Terra. Questo stato svanisce dopo un po' di turni.				这只宝可梦利用电气产生的磁力浮在空中，免疫了地面属性的攻击。该状态在大量回合后解除。																	
0000-mental_charged-0000|data.Name		Mental-Charged		Geistig gestärkt			Sovrappensiero				精神充盈																	
0000-mental_charged-0001|data.Desc		The Pokémon is protected against move-binding effects. This status wears off after many turns have passed.					Il Pokémon è protetto dalle mosse che immobilizzano. Questo stato svanisce dopo diversi turni.				这只宝可梦受到了保护，招式不会被封印。该状态在大量回合后解除。																	
0000-metal_burst-0000|data.Name		Metal Burst	Fulmifer	Metallstoß	Represión Metal		Metalscoppio				金属爆炸																	
0000-metal_burst-0001|data.Desc		All damage done to this Pokémon will be reflected on all nearby foes. This status wears off after a few turns, or if the Pokémon moves.		Jeglicher Schaden, die diesem Pokémon zugefügt wurde, wird an alle benachbarten Gegner reflektiert. Dieser Status lässt entweder nach einigen Zügen nach oder wenn sich das Pokémon bewegt.	Todo el daño hecho a este Pokémon será reflejado a todos los enemigos cercanos. Este estado desaparece tras unos turnos, o si el Pokémon se mueve.		Tutti i danni arrecati al Pokémon vengono restituiti a tutti i nemici vicini. Questo stato svanisce dopo un po' di turni o se il Pokémon si muove.				对这只宝可梦造成的所有伤害都会返还到附近的对手身上。该状态在几回合后，或宝可梦移动后解除。																	
0000-mini_counter-0000|data.Name		Mini-Counter	Mini-Riposte	Mini-Konter	Mini-Contra		Minicontrattacco				反击																	
0000-mini_counter-0001|data.Desc		The Pokémon will return damage from all attacks back at the user. This status wears off after many turns have passed.	Le Pokémon reflette tout les dégâts qui lui sont infligés. Ce statut disparaît après plusieurs tours.	Das Pokémon wirft jeden Schaden, den ein Gegner an ihm verursacht, an dessen Nutzer zurück. Dieser Status lässt nach vielen Zügen nach.	El Pokémon devolverá el daño de todos los ataques al usuario. Este estado desaparece tras pasar varios turnos.		Il Pokémon restituisce il danno di tutti gli attacchi subiti al nemico. Questo stato svanisce dopo diversi turni.				这只宝可梦会将所有攻击的伤害反弹给使用者。该状态在大量回合后解除。																	
0000-minimized-0000|data.Name		Minimized	Lilliput	Komprimator	Reducción		Minimizzato				变小																	
0000-minimized-0001|data.Desc																												
0000-miracle_eye-0000|data.Name		Miracle Eye	Œil Miracle	Wunderauge	Gran Ojo		Miracolvista				奇迹之眼																	
0000-miracle_eye-0001|data.Desc		All attacks made by the Pokémon will ignore the target's resistances, immunities, and evasion changes.	Toutes les attaques infligés par le Pokémon ne prennent plus en compte les faiblesses, résistances et l'esquive de la cible.	Alle Attacken, die dieses Pokémon ausführt, ignorieren die Resistenzen, Immunitäten und Fluchtwertsveränderungen des Zieles.	Todos los ataques hechos por el Pokémon ignorarán las resistencias, inmunidades y cambios de evasión del objetivo.		Tutti gli attacchi del Pokémon ignorano le resistenze, le immunità e i cambiamenti all'elusione del nemico.				这只宝可梦的攻击将无视目标相应的抗性、 免疫和闪避率变化。																	
0000-mirror_coat-0000|data.Name		Mirror Coat	Voile Miroir	Spiegelcape	Manto Espejo		Specchiovelo				镜面反射																	
0000-mirror_coat-0001|data.Desc		The Pokémon will return damage from special attacks back at the user with double the power. This status wears off after a few turns.	Le Pokémon renvoie le double des dégâts des Attaques Spéciales à l'ennemi. Ce statut disparaît après quelques tours.	Das Pokémon wirft jeglichen Schaden von speziellen Attacken doppelt so stark an seinen Angreifer zurück. Dieser Status lässt nach einigen Zügen nach.	El Pokémon devolverá el daño de los ataques especiales al usuario con el doble de potencia. Este estado desaparece tras unos turnos.		Il Pokémon restituisce il doppio dei danni subiti da attacchi speciali al nemico. Questo stato svanisce dopo un po' di turni.				这只宝可梦将会把受到的特殊攻击伤害以双倍返还给使用者。该状态在几回合后解除。																	
0000-missed_all_last_turn-0000|data.Name		Missed All Last Turn																										
0000-missed_all_last_turn-0001|data.Desc																												
0000-mist-0000|data.Name		Mist	Brume	Weißnebel	Neblina		Nebbia				白雾																	
0000-mist-0001|data.Desc		The Pokémon is surrounded in mist, preventing others from dropping its stats. This status wears off after many turns have passed.		Das Pokémon ist in Weißnebel gehüllt, wodurch seine Statuswerte nicht gesenkt werden können. Dieser Status lässt erst nach vielen Zügen nach.	El Pokémon está envuelto en bruma, impidiendo a otros de reducir sus estadísticas. Este estado desaparece tras pasar unos turnos.		Il Pokémon è circondato dalla nebbia che previene la diminuzione delle statistiche. Questo stato svanisce dopo un po' di turni.				这只宝可梦被白雾包围，阻止了能力降低。该状态在大量回合后解除。																	
0000-mod_accuracy-0000|data.Name		Accuracy	Précision	Genauigkeit	Precisión	Precisão	Precisione				命中																	
0000-mod_accuracy-0001|data.Desc		The Pokémon's Accuracy has been modified, allowing its attacks to hit more or less often.		Die Genauigkeit des Pokémon wurde verändert, wodurch seine Attacken besser oder schlechter treffen können.	La Precisión del Pokémon ha sido modificado, permitiendo que sus ataques golpeen más a menudo o menos.		La precisione del Pokémon è stata modificata consentendogli di mandare a segno più o meno spesso gli attacchi.				这只宝可梦的命中率发生了变化，攻击更容易或更难命中。																	
0000-mod_attack-0000|data.Name		Attack	Stat Attaque	Angriff	Ataque	Ataque	Attacco				攻击																	
0000-mod_attack-0001|data.Desc		The Pokémon's Attack has been modified, doing more or less damage with Physical attacks.		Der Angriff des Pokémon wurde verändert, wodurch es mehr oder weniger Schaden mit physischen Attacken verursacht.	El Ataque del Pokémon ha sido modificado, haciendo más o menos daño con ataques Físicos.		L'Attacco del Pokémon è stato modificato consentendogli di fare più o meno danno con gli attacchi fisici.				这只宝可梦的攻击发生了变化，物理攻击造成的伤害比通常状态下更高或者更低。																	
0000-mod_defense-0000|data.Name		Defense	Stat Défense	Verteidigung	Defensa	Defesa	Difesa				防御																	
0000-mod_defense-0001|data.Desc		The Pokémon's Defense has been modified, causing it to take more or less damage from Physical attacks.		Die Verteidigung des Pokémon wurde verändert, wodurch es mehr oder weniger Schaden von physischen Attacken erhält.	La Defensa del Pokémon ha sido modificada, causando que reciba más o menos daño con ataques Físicos.		La Difesa del Pokémon è stata modificata consentendogli di ricevere più o meno danni dagli attacchi fisici.				这只宝可梦的防御发生了变化，物理攻击对它造成的伤害比通常状态下更高或者更低。																	
0000-mod_evasion-0000|data.Name		Evasion	Esquive	Fluchtwert	Evasión	Evasão	Elusione				闪避																	
0000-mod_evasion-0001|data.Desc		The Pokémon's Evasion has been modified, allowing it to dodge attacks more or less often.		Der Fluchtwert des Pokémon wurde verändert, wodurch es leichter oder schwerer Attacken ausweichen kann.	La Evasión del Pokémon ha sido modificada, permitiendo esquivar ataques más a menudo o menos. 		L'elusione del Pokémon è stata modificata consentendogli di schivare più o meno spesso gli attacchi.				这只宝可梦的闪避率发生了变化，更容易或更难躲避攻击。																	
0000-mod_range-0000|data.Name		Range	Portée	Reichweite	Rango	Alcançe	Raggio				范围																	
0000-mod_range-0001|data.Desc																												
0000-mod_special_attack-0000|data.Name		Special Attack	Stat Attaque Sp.	Spezial Angriff	Ataque Especial	Ataque Especial	Attacco Speciale				特攻																	
0000-mod_special_attack-0001|data.Desc		The Pokémon's Special Attack has been modified, doing more or less damage with Special attacks.		Der Spezial Angriff des Pokémon wurde verändert, wodurch es mehr oder weniger Schaden mit speziellen Attacken verursacht.	El Ataque Especial del Pokémon ha sido modificado, haciendo más o menos daño con ataques Especiales.	O Ataque Especial desse Pokémon foi modificado, causando mais ou menos dano com ataques Especiais.	L'Attacco Speciale del Pokémon è stato modificato consentendogli di fare più o meno danno con gli attacchi speciali.				这只宝可梦的特攻发生了变化，特殊攻击造成的伤害比通常状态下更高或者更低。																	
0000-mod_special_defense-0000|data.Name		Special Defense	Stat Défense Sp.	Spezial Verteidigung	Defensa Especial	Defesa Especial	Difesa Speciale				特防																	
0000-mod_special_defense-0001|data.Desc		The Pokémon's Special Defense has been modified, causing it to take more or less damage from Special attacks.		Die Spezial Verteidigung wurde verändert, wodurch es mehr oder weniger Schaden von speziellen Attacken erhält.	La Defensa Especial del Pokémon ha sido modificada, causando que reciba más o menos daño con ataques Especial	A Defesa Especial desse Pokémon foi modificada, fazendo com que receba mais ou menos dano de ataques Especiais.	La Difesa Speciale del Pokémon è stata modificata consentendogli di ricevere più o meno danni dagli attacchi speciali.				这只宝可梦的特防发生了变化，特殊攻击对它造成的伤害比通常状态下更高或者更低。																	
0000-mod_speed-0000|data.Name		Movement Speed	Stat Vitesse	Tempo	Velocidad de movimiento		Velocità di movimento				移动速度																	
0000-mod_speed-0001|data.Desc		The Pokémon's Movement Speed has been modified to move faster or slower than usual.		Das Tempo des Pokémon wurde verändert, wodurch es sich entweder schneller oder langsamer bewegen kann als normalerweise.	La Velocidad de Movimiento del Pokémon ha sido modificado para moverse más rápido o lento de lo normal.		La velocità di movimento del Pokémon è stata modificata consentendogli di muoversi più o meno velocemente del solito.				这只宝可梦的移动速度发生了变化，比通常状态下更快或者更慢。																	
0000-nightmare-0000|data.Name		Nightmare	Cauchemar	Alptraum	Pesadilla		Incubo				恶梦																	
0000-nightmare-0001|data.Desc		The Pokémon takes gradual damage every turn when it is sleeping. This status wears off after many turns have passed.	Le Pokémon subit des dégâts à chaque tour dans son sommeil. Ce statut disparaît après plusieurs tours.	Das Pokémon nimmt jeden Zug stetig Schaden, wenn es schlafen sollte. Dieser Status lässt nach vielen Zügen nach.	El Pokémon recibe daño gradual cada turno cuando está durmiendo. Este estado desaparece tras pasar varios turnos.		Il Pokémon subisce danni un po' alla volta quando è addormentato. Questo stato svanisce dopo diversi turni.				这只宝可梦睡着时每回合都会逐渐受到伤害。该状态在大量回合后解除。																	
0000-none-0000|data.Name		None	Aucun	Keine	Ninguno	Nenhum	Nessuno				无																	
0000-none-0001|data.Desc																												
0000-outrage-0000|data.Name		Outrage	Colère	Wutanfall	Enfado		Oltraggio				逆鳞																	
0000-outrage-0001|data.Desc		The Pokémon will use Outrage repeatedly until the status wears off. This status wears off after a few turns, leaving the Pokémon confused from fatigue.	Le Pokémon utilise Colère en continu jusqu'à ce que le statut disparaisse. Ce statut disparaît après plusieurs tours, laissant le Pokémon confus de fatigué.	Das Pokémon wird Wutanfall wiederholt einsetzen bis der Status nachlässt. Dieser Status lässt nach einigen Zügen nach, wodurch das Pokémon durch Erschöpfung verwirrt wird.	El Pokémon usará Enfado repetidamente hasta que el estado desaparezca. Este estado desaparece tras unos turnos, dejando al Pokémon confundido de la fatiga.		Il Pokémon utilizza Oltraggio ripetutamente fino a quando lo stato non svanisce. Questo stato svanisce dopo un po' di turni, lasciando il Pokémon confuso dalla fatica.				这只宝可梦将持续使出逆鳞直到状态解除。该状态在几回合后解除，并且解除后这只宝可梦将因为疲劳而陷入混乱。																	
0000-paralyze-0000|data.Name		Paralyzed	Paralysé	Paralysiert	Paralizado	Paralisado	Paralisi				麻痹																	
0000-paralyze-0001|data.Desc		The Pokémon is paralyzed and cannot move in consecutive turns. This status wears off after a few turns.		Das Pokémon ist paralysiert und kann nicht in aufeinanderfolgenden Zügen angreifen. Dieser Status lässt nach einigen Zügen nach.	El Pokémon está paralizado y no puede atacar en los siguientes turnos. Este estado desaparece tras unos turnos.		Il Pokémon è paralizzato e non può muoversi nei turni successivi. Questo stato svanisce dopo un po' di turni.				这只宝可梦处于麻痹状态，在接下来的几回合内难以行动。该状态在几回合后解除。																	
0000-paused-0000|data.Name		Paused	Fatigué	Erschöpft			Fatica				观望																	
