Key		EN	DE	ES	ZH-HANS	FR	IT	KO	JA	JA-JP	ZH-HANT
0076-air_lock-0000|data.Name		Air Lock	Klimaschutz	Bucle Aire	气闸	Air Lock	Riparo	에어록	エアロック	エアロック	氣閘
0076-air_lock-0001|data.Desc		Eliminates the effects of weather when the Pokémon is battling.	Hebt Wetter-Effekte auf, wenn sich das Pokémon im Kampf befindet.		所有天气的影响都会消失。						
0077-tangled_feet-0000|data.Name		Tangled Feet	Fußangel	Tumbos	蹒跚	Pieds Confus	Intricopiedi	갈지자걸음	ちどりあし	ちどりあし	蹣跚
0077-tangled_feet-0001|data.Desc		If the Pokémon is confused, it will avoid attacks from a distance.	Wenn das Pokémon verwirrt ist, wird es allen Attacken aus der Distanz ausweichen.		在混乱状态时，会免疫远程攻击。						
0078-motor_drive-0000|data.Name		Motor Drive	Starthilfe	Electromotor	电气引擎	Motorisé	Elettrorapid	전기엔진	でんきエンジン	でんきエンジン	電氣引擎
0078-motor_drive-0001|data.Desc		Boosts the Pokémon's Movement Speed when it's hit by an Electric-type move.	Erhöht nach einem Treffer durch eine Elektro-Attacke das Tempo des Pokémons.		受到电属性的招式攻击时，不会受到伤害，而是移动速度会提高。						
0079-rivalry-0000|data.Name		Rivalry	Rivalität	Rivalidad	斗争心	Rivalité	Antagonismo	투쟁심	とうそうしん	とうそうしん	鬥爭心
0079-rivalry-0001|data.Desc		Deals more damage to Pokémon of the same gender.	Verursacht mehr Schaden, wenn das Ziel dasselbe Geschlecht hat.		对同性宝可梦造成更多伤害。						
0080-steadfast-0000|data.Name		Steadfast	Felsenfest	Impasible	不屈之心	Impassible	Cuordeciso	불굴의마음	ふくつのこころ	ふくつのこころ	不屈之心
0080-steadfast-0001|data.Desc		Boosts the Pokémon's Movement Speed each time the it flinches.	Erhöht das Tempo des Pokémon jedes Mal, wenn es zurückschreckt.		每次畏缩时，不屈之心就会燃起，移动速度也会提高。						
0081-snow_cloak-0000|data.Name		Snow Cloak	Schneemantel	Manto Níveo	雪隐	Rideau Neige	Mantelneve	눈숨기	ゆきがくれ	ゆきがくれ	雪隱
0081-snow_cloak-0001|data.Desc		Avoids attacks from a distance when in a hailstorm.	Weicht allen Angriffen aus der Entfernung aus, wenn es hagelt.		冰雹天气时，免疫远程攻击。						
0082-gluttony-0000|data.Name		Gluttony	Völlerei	Gula	贪吃鬼	Gloutonnerie	Voracità	먹보	くいしんぼう	くいしんぼう	貪吃鬼
0082-gluttony-0001|data.Desc		Steals and eats a food item from an attacker that made direct contact.	Stehlt und konsumiert ein essbares Item von einem Angreifer, welcher direkten Kontakt hatte.		从近身攻击的宝可梦那里偷走食物并吃掉。						
0083-anger_point-0000|data.Name		Anger Point	Kurzschluss	Irascible	愤怒穴位	Colérique	Grancollera	분노의경혈	いかりのつぼ	いかりのつぼ	憤怒穴位
0083-anger_point-0001|data.Desc		The Pokémon is angered when it takes a critical hit, and that maxes its Attack stat.	Wird nach Einstecken eines Volltreffers wütend und maximiert dabei seinen Angriffs-Wert.	Si recibe un golpe crítico, monta en cólera y sube su Ataque hasta el máximo.	要害被击中时，会大发雷霆，攻击力变为最大。	Si le Pokémon subit un coup critique, il entre dans une colère noire qui augmente son Attaque au maximum.	Se il Pokémon subisce un brutto colpo, monta su tutte le furie e il suo Attacco aumenta al massimo.	급소에 공격이 맞으면 크게 분노해 공격력이 최대가 된다.	きゅうしょに　こうげきが　あたると いかりくるって　こうげきりょくが さいだいに　なる。	急所に　攻撃が　当たると 怒りくるって　攻撃力が 最大に　なる。	要害被擊中時會大發雷霆。 攻擊力會提高到最大。
0084-unburden-0000|data.Name		Unburden	Entlastung	Liviano	轻装	Délestage	Agiltecnica	곡예	かるわざ	かるわざ	輕裝
0084-unburden-0001|data.Desc		Boosts Movement Speed the Pokémon has no held item.	Erhöht das Tempo des Pokémon, wenn es kein Item trägt.		没有携带道具时，提高移动速度。						
0085-heatproof-0000|data.Name		Heatproof	Hitzeschutz	Ignífugo	耐热	Ignifugé	Antifuoco	내열	たいねつ	たいねつ	耐熱
0085-heatproof-0001|data.Desc		Weakens the power of Fire-type moves.	Senkt die Stärke von Feuer-Attacken.	Disminuye la potencia de los ataques de tipo Fuego.	耐热的体质会降低火属性的招式威力。	Réduit la puissance des attaques de type Feu.	Indebolisce l’effetto di mosse di tipo Fuoco.	불꽃타입 공격의 위력을 약하게 한다.	ほのおタイプの　こうげきの いりょくを　よわめる。	ほのおタイプの　攻撃の 威力を　弱める。	
0086-simple-0000|data.Name		Simple	Wankelmut	Simple	单纯	Simple	Disinvoltura	단순	たんじゅん	たんじゅん	單純
0086-simple-0001|data.Desc		The stat changes the Pokémon receives are doubled.	Verdoppelt die Wirkung eigener Statusveränderungen.	Duplica los cambios en las características.	能力变化会变为平时的２倍。	Les variations de stats sont deux fois plus importantes pour le Pokémon.	Raddoppia le modifiche alle statistiche.	능력 변화가 평소의 2배가 된다.	のうりょく　へんかが いつもの　２ばいに　なる。	能力　変化が いつもの　２倍に　なる。	能力變化會變為平時的２倍。
0087-dry_skin-0000|data.Name		Dry Skin	Trockenheit	Piel Seca	干燥皮肤	Peau Sèche	Pellearsa	건조피부	かんそうはだ	かんそうはだ	乾燥皮膚
0087-dry_skin-0001|data.Desc		Restores HP in rain or when hit by Water-type moves. Reduces HP in harsh sunlight, and increases the damage received from Fire-type moves.	Bei Sonnenschein verliert das Pokémon KP und der Schaden durch Feuer-Attacken steigt. Bei Regen und Treffern durch Wasser-Attacken regeneriert es KP.	Pierde PS si hace sol y los recupera si llueve o recibe un movimiento de tipo Agua. Los movimientos de tipo Fuego, por su parte, le hacen más daño de lo normal.	下雨天气时和受到水属性的招式时，HP会回复。晴朗天气时和受到火属性的招式时，HP会减少。	Le Pokémon regagne des PV sous la pluie ou s’il est touché par une capacité Eau, mais il déteste les capacités Feu ou quand le soleil brille.	Il Pokémon recupera PS se piove o se subisce mosse di tipo Acqua, ma con la luce solare intensa perde PS. Subisce più danni da mosse di tipo Fuoco.	비가 오는 날씨나 물타입의 기술로 HP가 회복되고 맑을 때나 불꽃타입의 기술로는 줄어든다.	てんきが　あめのときや　みずタイプの わざで　ＨＰが　かいふくし　はれのときや ほのおタイプの　わざで　へってしまう。	天気が　雨の時や　みずタイプの 技で　ＨＰが　回復し　はれの時や ほのおタイプの　技で　減ってしまう。	下雨天氣時和受到水屬性的招式攻擊時， HP會回復。晴朗天氣時和受到火屬性的 招式攻擊時，ＨＰ會減少。
0088-download-0000|data.Name		Download	Download	Descarga	下载	Télécharge	Download	다운로드	ダウンロード	ダウンロード	下載
0088-download-0001|data.Desc		Compares an opposing Pokémon's Defense and Sp. Def stats before raising its own Attack or Sp. Atk stat- whichever will be more effective.	Ist die Spezial-Verteidigung des Gegners höher als seine Verteidigung, wird der eigene Spezial-Angriff erhöht. Ist die Verteidigung höher, steigt der Angriff.	Compara la Defensa y la Defensa Especial del rival para ver cuál es inferior y aumenta su propio Ataque o Ataque Especial, según corresponda.	比较对手的防御和特防，根据较低的那项能力相应地提高自己的攻击或特攻。	Le Pokémon compare la Défense et la Défense Spéciale de l’adversaire et augmente son Attaque ou son Attaque Spéciale en conséquence.	Analizza Difesa e Difesa Speciale del nemico e, a seconda di qual è più bassa, aumenta il proprio Attacco o Attacco Speciale.	상대의 방어와 특수방어를 비교해서 낮은 쪽 능력에 맞춰서 자신의 공격이나 특수공격을 올린다.	あいての　ぼうぎょと　とくぼうを　くらべて ひくい　ほうの　のうりょくに　あわせて じぶんの　こうげきか　とくこうを　あげる。	相手の　防御と　特防を　くらべて 低い　ほうの　能力に　あわせて 自分の　攻撃か　特攻を　上げる。	比較對手的防禦和特防， 根據較低的那項能力 相應地提高自己的攻擊或特攻。
0089-iron_fist-0000|data.Name		Iron Fist	Eisenfaust	Puño Férreo	铁拳	Poing de Fer	Ferropugno	철주먹	てつのこぶし	てつのこぶし	鐵拳
0089-iron_fist-0001|data.Desc		Powers up punching moves.	Steigert die Effektivität von Box- und Hieb-Attacken.	Aumenta la fuerza de los puñetazos.	使用拳类招式的威力会提高。	Augmente la puissance des capacités coups de poing.	Potenzia le mosse che utilizzano pugni.	펀치를 사용하는 기술의 위력이 올라간다.	パンチを　つかう　わざの いりょくが　あがる。	パンチを　使う　技の 威力が　あがる。	使用到拳頭的招式 威力會提高。
0090-poison_heal-0000|data.Name		Poison Heal	Aufheber	Antídoto	毒疗	Soin Poison	Velencura	포이즌힐	ポイズンヒール	ポイズンヒール	毒療
0090-poison_heal-0001|data.Desc		Restores HP if the Pokémon is poisoned, instead of losing HP.	Das Pokémon erleidet keinen Schaden durch Vergiftung, sondern regeneriert KP.	Si el Pokémon resulta envenenado, recupera PS en vez de perderlos.	变为中毒状态时，HP不会减少，反而会增加起来。	Quand le Pokémon est empoisonné, il regagne des PV au lieu d’en perdre.	Il Pokémon recupera PS anziché perderli se è avvelenato.	독 상태가 되면 HP가 줄지 않고 증가한다.	どくじょうたいに　なると ＨＰが　へらずに　ふえていく。	どく状態に　なると ＨＰが　減らずに　増えていく。	陷入中毒狀態時， ＨＰ不會減少，反而會漸漸增加。
0091-adaptability-0000|data.Name		Adaptability	Anpassung	Adaptable	适应力	Adaptabilité	Adattabilità	적응력	てきおうりょく	てきおうりょく	適應力
0091-adaptability-0001|data.Desc		Powers up moves of the same type as the Pokémon.	Erhöht die Stärke von Attacken desselben Typs.	Potencia los movimientos del mismo tipo del Pokémon.	与自身同属性的招式威力会提高。	Augmente la puissance des capacités de même type.	Potenzia le mosse dello stesso tipo del Pokémon.	타입이 같은 기술의 위력이 올라간다.	タイプが　おなじ　わざの いりょくが　あがる。	タイプが　同じ　技の 威力が　あがる。	與自身同屬性的招式 威力會提高。
0092-skill_link-0000|data.Name		Skill Link	Wertelink	Encadenado	连续攻击	Multi-Coups	Abillegame	스킬링크	スキルリンク	スキルリンク	連續攻擊
0092-skill_link-0001|data.Desc		Ensures that all multi-strike moves hit.	Ermöglicht, dass alle Serien-Attacken treffen.		如果使用连续招式，一定会命中。						
0093-hydration-0000|data.Name		Hydration	Hydration	Hidratación	湿润之躯	Hydratation	Idratazione	촉촉바디	うるおいボディ	うるおいボディ	濕潤之軀
0093-hydration-0001|data.Desc		Heals status conditions if it's raining.	Heilt bei Regen Statusprobleme.	Cura los problemas de estado si está lloviendo.	下雨天气时，异常状态会治愈。	Soigne les problèmes de statut s’il pleut.	Cura i problemi di stato se piove.	비가 오면 상태 이상이 회복된다.	じょうたい　いじょうが あめの　とき　なおる。	状態異常が 雨の　とき　治る。	天氣為下雨時， 會治癒異常狀態。
0094-solar_power-0000|data.Name		Solar Power	Solarkraft	Poder Solar	太阳之力	Force Soleil	Solarpotere	선파워	サンパワー	サンパワー	太陽之力
0094-solar_power-0001|data.Desc		Boosts the Sp. Atk stat in sunny weather, but HP decreases.	Führt bei Sonne zu KP-Verlusten, erhöht aber den Spezial-Angriff.	Si hace sol, baja los PS, pero potencia el At. Esp.	晴朗天气时，特攻会提高，而HP会减少。	Augmente l’Attaque Spéciale mais baisse les PV au soleil.	Se c’è il sole aumenta l’Attacco Speciale, ma riduce i PS.	맑으면 HP가 줄지만 특수공격이 올라간다.	はれると　ＨＰが　へるが とくこうが　あがる。	晴れると　ＨＰが　減るが 特攻が　あがる。	
0095-quick_feet-0000|data.Name		Quick Feet	Rasanz	Pies Rápidos	飞毛腿	Pied Véloce	Piedisvelti	속보	はやあし	はやあし	飛毛腿
0095-quick_feet-0001|data.Desc		Boosts Movement Speed if the Pokémon has a status condition.	Erhöht bei Statusproblemen das Tempo des Pokémons.		变为异常状态时，移动速度会提高。						
0096-normalize-0000|data.Name		Normalize	Regulierung	Normalidad	一般皮肤	Normalise	Normalità	노말스킨	ノーマルスキン	ノーマルスキン	一般皮膚
0096-normalize-0001|data.Desc		All the Pokémon’s moves become Normal type.	Alle Attacken des Pokémon werden zu Normal-Attacken.	Todos los movimientos se vuelven de tipo Normal.	无论是什么属性的招式，全部会变为一般属性。	Toutes les capacités sont de type Normal.	Le mosse del Pokémon diventano di tipo Normale.	쓴 기술이 모두 노말타입이 된다.	だしたわざが　すべて ノーマルタイプに　なる。	だした技が　すべて ノーマルタイプに　なる。	
0097-sniper-0000|data.Name		Sniper	Superschütze	Francotirador	狙击手	Sniper	Cecchino	스나이퍼	スナイパー	スナイパー	狙擊手
0097-sniper-0001|data.Desc		Powers up moves if they become critical hits when attacking.	Erhöht bei Volltreffern die Stärke der Attacke noch weiter.	Potencia los golpes críticos aún más de lo normal.	击中要害时，威力会变得更强。	Lorsque le Pokémon porte un coup critique, les dégâts infligés augmentent encore plus que d’habitude.	Aumenta ulteriormente i danni inflitti dai brutti colpi.	공격을 급소에 맞혔을 때 위력이 더욱 올라간다.	こうげきを　きゅうしょに　あてると いりょくが　さらに　あがる。	攻撃を　急所に　当てると 威力が　さらに　上がる。	擊中要害時， 威力會進一步提高。
0098-magic_guard-0000|data.Name		Magic Guard	Magieschild	Muro Mágico	魔法防守	Garde Magik	Magicscudo	매직가드	マジックガード	マジックガード	魔法防守
0098-magic_guard-0001|data.Desc		The Pokémon only takes damage from attacks.	Das Pokémon nimmt nur durch Offensiv-Attacken Schaden.	Solo dañan al Pokémon los ataques directos.	不会受到攻击以外的伤害。	Seule une attaque directe peut blesser le Pokémon.	Il Pokémon subisce danni solo da attacchi diretti.	공격 이외에는 데미지를 입지 않는다.	こうげき　いがいでは ダメージを　うけない。	攻撃　以外では ダメージを　受けない。	不會受到攻擊以外的傷害。
0099-no_guard-0000|data.Name		No Guard	Schildlos	Indefenso	无防守	Annule Garde	Nullodifesa	노가드	ノーガード	ノーガード	無防守
0099-no_guard-0001|data.Desc		The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.	Alle Attacken des oder auf das Pokémon gelingen aufgrund seiner deckungslosen Kampftaktik.	Al quedar ambos expuestos, tanto los movimientos del Pokémon como los del rival acertarán siempre.	由于无防守战术，双方使出的招式都必定会击中。	Les capacités du Pokémon touchent l’ennemi à coup sûr, et vice-versa.	Il Pokémon e chiunque lo attacchi abbassano la guardia e le loro mosse vanno sempre a segno.	노가드전법에 따라 서로가 사용하는 기술이 반드시 맞게 된다.	ノーガード　せんぽうに　よって おたがいの　だす　わざが かならず　あたる　ようになる。	ノーガード戦法に　よって お互いの　出す　技が かならず　当たる　ようになる。	由於無防守戰術， 雙方使出的招式都必定會擊中。
0100-stall-0000|data.Name		Stall	Zeitspiel	Rezagado	慢出	Frein	Rallentatore	시간벌기	あとだし	あとだし	慢出
0100-stall-0001|data.Desc		Boosts move power if the Pokémon was last hit by the target.	Erhöht die Stärke einer Attacke, wenn das Pokémon von seinem Gegner zuletzt angegriffen wurde.		上回合受到攻击后，招式威力会提高。			포켓몬을 마지막으로 공격했던 상대에게 쓰는 기술의 위력이 증가한다.			
0101-technician-0000|data.Name		Technician	Techniker	Experto	技术高手	Technicien	Tecnico	테크니션	テクニシャン	テクニシャン	技術高手
0101-technician-0001|data.Desc		Powers up the Pokémon's weaker moves.	Steigert die Effektivität von schwächeren Attacken.	Potencia los movimientos más débiles del Pokémon.	攻击时可以将低威力招式的威力提高。	Augmente la puissance des capacités les plus faibles.	Potenzia le mosse più deboli del Pokémon.	약한 기술의 위력이 올라간다.	よわい　わざの いりょくが　あがる。	弱い　技の 威力が　あがる。	可讓威力低的招式 提高威力來進行攻擊。
0102-leaf_guard-0000|data.Name		Leaf Guard	Floraschild	Defensa Hoja	叶子防守	Feuille Garde	Fogliamanto	리프가드	リーフガード	リーフガード	葉子防守
0102-leaf_guard-0001|data.Desc		Avoids enemy status moves in sunny weather.	Verhindert bei Sonnenschein, dass gegnerische Statusattacken treffen können.		晴朗天气时，免疫对手的变化招式。						
0103-klutz-0000|data.Name		Klutz	Tollpatsch	Zoquete	笨拙	Maladresse	Impaccio	서투름	ぶきよう	ぶきよう	笨拙
0103-klutz-0001|data.Desc		Items held by the Pokémon have no effect. They also can't stick to the Pokémon.	Items, die das Pokémon trägt, haben keinen Effekt. Diese können außerdem nicht am Pokémon kleben.		无法使用持有的道具。它们也不会被粘着。						
0104-mold_breaker-0000|data.Name		Mold Breaker	Überbrückung	Rompemoldes	破格	Brise Moule	Rompiforma	틀깨기	かたやぶり	かたやぶり	破格
0104-mold_breaker-0001|data.Desc		Damaging moves will remove the abilities of opposing Pokémon.	Schadene Attacken entfernen die Fähigkeiten von gegnerischen Pokémon.		攻击对手后，对手会失去特性。						
0105-super_luck-0000|data.Name		Super Luck	Glückspilz	Afortunado	超幸运	Chanceux	Supersorte	대운	きょううん	きょううん	超幸運
0105-super_luck-0001|data.Desc		The Pokémon is so lucky that the critical-hit ratios of its moves are boosted.	Großes Glück erhöht die Wahrscheinlichkeit, einen Volltreffer zu landen.	Su buena suerte aumenta la probabilidad de asestar golpes críticos.	因为拥有超幸运，攻击容易击中对手的要害。	Le Pokémon est tellement chanceux qu’il inflige plus fréquemment des coups critiques.	Il Pokémon ha una fortuna incredibile che aumenta la sua probabilità di infliggere brutti colpi.	대운을 가지고 있어 상대의 급소에 공격이 맞기 쉽다.	きょううんを　もっているため あいての　きゅうしょに こうげきが　あたりやすい。	強運を　持っているため 相手の　急所に 攻撃が　当たりやすい。	因為非常幸運， 容易擊中對手的要害。
0106-aftermath-0000|data.Name		Aftermath	Finalschlag	Resquicio	引爆	Boom Final	Scoppio	유폭	ゆうばく	ゆうばく	引爆
0106-aftermath-0001|data.Desc		The Pokémon explodes when fainted.	Das Pokémon explodiert, wenn es ohnmächtig wird.		倒下后引发爆炸。						
0107-anticipation-0000|data.Name		Anticipation	Vorahnung	Anticipación	危险预知	Anticipation	Presagio	위험예지	きけんよち	きけんよち	危險預知
0107-anticipation-0001|data.Desc		Avoids the strongest super-effective move that the opposing Pokémon has.	Ahnt die gefährlichste, sehr effektive Attacke des gegnerischen Pokémons voraus.		闪避对手最强的效果绝佳招式。						
0108-forewarn-0000|data.Name		Forewarn	Vorwarnung	Alerta	预知梦	Prédiction	Premonizione	예지몽	よちむ	よちむ	預知夢
0108-forewarn-0001|data.Desc		Avoids the strongest move that the opposing Pokémon has.	Weicht der stärksten Attacke des gegnerischen Pokémons aus.		闪避对手的最强招式。						
0109-unaware-0000|data.Name		Unaware	Unkenntnis	Ignorante	纯朴	Inconscient	Imprudenza	천진	てんねん	てんねん	純樸
0109-unaware-0001|data.Desc		Ignores the opposing Pokémon's stat changes.	Ignoriert Statusveränderungen des Zieles.	No tiene en cuenta las mejoras en las características del rival.	可以无视对手能力的变化，进行攻击。	Ignore les changements de stats de l’ennemi.	Ignora le modifiche alle statistiche del nemico.	상대의 능력 변화를 무시한다.	あいての　のうりょくの へんかを　むしする。	相手の　能力の 変化を　無視する。	
0110-tinted_lens-0000|data.Name		Tinted Lens	Aufwertung	Cromolente	有色眼镜	Lentiteintée	Lentifumé	색안경	いろめがね	いろめがね	有色眼鏡
0110-tinted_lens-0001|data.Desc		Powers up "not very effective" moves.	Verstärkt nicht sehr effektive Attacken.	Potencia los movimientos que no son muy eficaces.	提高效果不好的招式的威力。	Améliore les capacités "pas très efficaces".	Potenzia le mosse non molto efficaci.	효과가 별로인 기술이 강해진다.	こうかいまひとつ　のとき わざを　つよめる。	効果いまひとつ　のとき 技を　強める。	
0111-filter-0000|data.Name		Filter	Filter	Filtro	过滤	Filtre	Filtro	필터	フィルター	フィルター	過濾
0111-filter-0001|data.Desc		Reduces damage from super-effective attacks.	Senkt die Stärke sehr effektiver Attacken.	Mitiga los movimientos supereficaces.	受到效果绝佳的攻击时，可以减弱其威力。	Réduit les dégâts des capacités "super efficaces" subies.	Riduce la potenza delle mosse superefficaci.	효과가 굉장한 기술의 위력을 약하게 한다.	こうかばつぐん　のとき いりょくを　よわめる。	効果バツグン　のとき 威力を　弱める。	受到效果絕佳的攻擊時， 可減弱其威力。
0112-slow_start-0000|data.Name		Slow Start	Saumselig	Inicio Lento	慢启动	Début Calme	Lentoinizio	슬로스타트	スロースタート	スロースタート	慢啟動
0112-slow_start-0001|data.Desc		Temporarily lowers the Pokémon's Movement Speed.	Halbiert zeitweilig die Initiative des Pokémons.		暂时降低宝可梦的移动速度。						
0113-scrappy-0000|data.Name		Scrappy	Rauflust	Intrépido	胆量	Querelleur	Nervisaldi	배짱	きもったま	きもったま	膽量
0113-scrappy-0001|data.Desc		The Pokémon can hit Ghost-type Pokémon with Normal- and Fighting-type moves.	Bewirkt, dass Normal- und Kampf-Attacken auch Pokémon vom Typ Geist treffen können.	Los movimientos de tipo Normal o Lucha alcanzan a los Pokémon de tipo Fantasma.	一般属性和格斗属性的招式可以击中幽灵属性的宝可梦。	Permet aux capacités de type Normal ou Combat du Pokémon de toucher les Pokémon de type Spectre.	Permette di colpire Pokémon di tipo Spettro con mosse di tipo Normale e Lotta.	고스트타입 포켓몬에게 노말타입과 격투타입의 기술을 맞게 한다.	ゴーストタイプの　ポケモンに ノーマルタイプと　かくとうタイプの わざを　あてることが　できる。	ゴーストタイプの　ポケモンに ノーマルタイプと　かくとうタイプの 技を　当てることが　できる。	一般屬性和格鬥屬性的招式 可擊中幽靈屬性的寶可夢。
0114-storm_drain-0000|data.Name		Storm Drain	Sturmsog	Colector	引水	Lavabo	Acquascolo	마중물	よびみず	よびみず	引水
0114-storm_drain-0001|data.Desc		Draws in all Water-type moves. Instead of being hit by Water-type moves, it boosts its Sp. Atk.	Zieht Wasser-Attacken an. Statt durch diese Schaden zu nehmen, erhöht es den eigenen Spezial-Angriff.	Además de atraer y neutralizar los movimientos de tipo Agua, sube el Ataque Especial.	将水属性的招式引到自己身上，不会受到伤害，而是会提高特攻。	Le Pokémon détourne sur lui les capacités de type Eau et les neutralise, tout en montant son Attaque Spéciale.	Attira e neutralizza mosse di tipo Acqua e aumenta l’Attacco Speciale.	물타입의 기술을 자신에게 끌어모아 데미지는 받지 않고 특수공격이 올라간다.	みずタイプの　わざを　じぶんに　よせつけ ダメージは　うけずに　とくこうが　あがる。	みずタイプの　技を　自分に　よせつけ ダメージは　受けずに　特攻が　上がる。	將水屬性的招式引到自己身上， 不但不會受到傷害， 反而會提高特攻。
0115-ice_body-0000|data.Name		Ice Body	Eishaut	Gélido	冰冻之躯	Corps Gel	Corpogelo	아이스바디	アイスボディ	アイスボディ	冰凍之軀
0115-ice_body-0001|data.Desc		The Pokémon gradually regains HP when battling in a hailstorm.	Regeneriert bei Hagel nach und nach KP.	Recupera algunos PS cuando hay tormentas de granizo.	冰雹天气时，会缓缓回复HP。	Régénère ses PV lors des tempêtes de grêle.	Il Pokémon recupera PS quando grandina.	싸라기눈일 때 HP를 조금씩 회복한다.	あられのとき　HPを すこしずつ　かいふく。	あられのとき　ＨＰを 少しずつ　回復。	天氣為冰雹時， 會漸漸回復ＨＰ。
0116-solid_rock-0000|data.Name		Solid Rock	Felskern	Roca Sólida	坚硬岩石	Solide Roc	Solidroccia	하드록	ハードロック	ハードロック	堅硬岩石
0116-solid_rock-0001|data.Desc		Reduces damage from super-effective attacks.	Senkt die Stärke sehr effektiver Attacken.	Mitiga los movimientos supereficaces.	受到效果绝佳的攻击时，可以减弱其威力。	Réduit les dégâts des capacités "super efficaces" subies.	Riduce la potenza delle mosse superefficaci.	효과가 굉장한 기술의 위력을 약하게 한다.	こうかばつぐん　のとき いりょくを　よわめる。	効果バツグン　のとき 威力を　弱める。	受到效果絕佳的攻擊時， 可減弱其威力。
0117-snow_warning-0000|data.Name		Snow Warning	Hagelalarm	Nevada	降雪	Alerte Neige	Scendineve	눈퍼뜨리기	ゆきふらし	ゆきふらし	降雪
0117-snow_warning-0001|data.Desc		The Pokémon summons a hailstorm when it is battling.	Das Pokémon beschwört einen Hagelsturm herauf, wenn es sich im Kampf befindet.		战斗时，会将天气变为冰雹。			싸우는 동안 싸라기눈을 내리게 한다.			
0118-honey_gather-0000|data.Name		Honey Gather	Honigmaul	Recogemiel	采蜜	Cherche Miel	Mielincetta	꿀모으기	みつあつめ	みつあつめ	採蜜
0118-honey_gather-0001|data.Desc		The Pokémon may gather Nectar when it enters a new floor.	Das Pokémon sammelt eventuell Honig auf, wenn es eine neue Ebene betritt.		进入楼层后，可能捡到蜂蜜。			다음 층으로 넘어갈 때 달콤한꿀을 모아서 올 때가 있다.			
0119-frisk-0000|data.Name		Frisk	Schnüffler	Cacheo	察觉	Fouille	Indagine	통찰	おみとおし	おみとおし	察覺
0119-frisk-0001|data.Desc		Attacking an opposing Pokémon removes its held item.	Greift das Pokémon einen Gegner an, entfernt es dabei sein gehaltenes Item.		攻击对手，可以丢掉对手的持有物。			적 포켓몬을 공격하면 들고 있던 도구를 제거한다.			
0120-reckless-0000|data.Name		Reckless	Achtlos	Audaz	舍身	Téméraire	Temerarietà	이판사판	すてみ	すてみ	捨身
0120-reckless-0001|data.Desc		Powers up moves that have recoil damage.	Verstärkt Attacken mit Rückstoß-Schaden.	Potencia los movimientos que dañan al usuario.	自己会因反作用力受伤的招式，其威力会提高。	Booste les capacités ayant des dégâts de contrecoups.	Potenzia le mosse che provocano  contraccolpi.	반동 데미지를 받는 기술이 강해진다.	はんどうで　ダメージを うけるわざが　つよくなる。	反動で　ダメージを 受ける技が　強くなる。	會讓自己因反作用力而受傷的招式 威力會提高。
0121-multitype-0000|data.Name		Multitype	Variabilität	Multitipo	多属性	Multi-Type	Multitipo	멀티타입	マルチタイプ	マルチタイプ	多屬性
0121-multitype-0001|data.Desc		Changes the Pokémon's type to match its held Plate. The Pokémon can also utilize the protection of Plates in its Bag.	Passt seinen Typ der getragenen Tafel an. Das Pokémon kann außerdem den Schutz der Tafeln im Schatzbeutel zu Nutze machen.		自己的属性会根据持有的石板而改变。也可以利用包里的石板来保护。			지니고 있는 플레이트에 따라 타입이 바뀐다. 또한 트레저 백에 있는 플레이트의 보호 효과를 받는다.			
0122-flower_gift-0000|data.Name		Flower Gift	Pflanzengabe	Don Floral	花之礼	Don Floral	Regalfiore	플라워기프트	フラワーギフト	フラワーギフト	花之禮
0122-flower_gift-0001|data.Desc		Boosts the Attack and Sp. Def stats of itself and allies in harsh sunlight.	Erhöht bei Sonnenschein den Angriff und die Spezial-Verteidigung aller Team-Pokémon.	Aumenta el Ataque y la Defensa Especial de todos los Pokémon del equipo si hace sol.	晴朗天气时，自己与同伴的攻击和特防能力会提高。	Augmente l’Attaque et la Défense Spéciale du Pokémon et de ses alliés lorsque le soleil brille.	Se la luce del sole è intensa, aumenta la Difesa Speciale e l’Attacco del Pokémon e dei suoi alleati.	날씨가 맑을 때 자신과 같은 편의 공격과 특수방어의 능력이 올라간다.	てんきが　はれのとき じぶんと　みかたの　こうげきと とくぼうの　のうりょくが　あがる。	天気が　晴れのとき 自分と　味方の　攻撃と 特防の　能力が　上がる。	天氣為晴朗時， 自己和同伴的攻擊和 特防能力會提高。
0123-bad_dreams-0000|data.Name		Bad Dreams	Alptraum	Mal Sueño	梦魇	Mauvais Rêve	Sogniamari	나이트메어	ナイトメア	ナイトメア	夢魘
0123-bad_dreams-0001|data.Desc		Reduces the HP of opposing Pokémon that are asleep.	Senkt die KP eines schlafenden Gegners.	Reduce los PS de cualquier rival que esté dormido.	给予睡眠状态的对手伤害。	Réduit les PV d’un ennemi endormi.	Riduce i PS dei nemici addormentati.	잠들어 있는 상대의 HP를 줄인다.	ねむっている　あいての ＨＰを　へらす。	ねむっている　相手の ＨＰを　減らす。	給予陷入睡眠狀態的對手傷害。
0124-pickpocket-0000|data.Name		Pickpocket	Langfinger	Hurto	顺手牵羊	Pickpocket	Arraffalesto	나쁜손버릇	わるいてぐせ	わるいてぐせ	順手牽羊
