Key		EN	FR	DE	ES	PT	KO	IT	JA	JA-JP	ZH-HANS	ZH-HANT
0006-boost_iron-0000|data.Name		Iron	Fer	Eisen	Hierro	Ferro	사포닌	Ferro	ブロムヘキシン	ブロムヘキシン	防御增强剂	防禦增強劑
0006-boost_iron-0001|data.Desc		A drink that permanently raises the Pokémon's Defense.	Une boisson très nutritive qui augmente la Défense de base d’un Pokémon.	Ein gehaltvolles Getränk, das den Verteidigungs-Basiswert eines Pokémon dauerhaft erhöht.	Nutritiva bebida que potencia la Defensa de base de un Pokémon.		마시는 포켓몬의 방어를 영구적으로 올린다.	Bevanda nutriente per Pokémon. Aumenta i punti base della Difesa.	ポケモンの　えいようドリンク。 ポケモン　１ひきの　ぼうぎょの きそポイントを　あげる。	ポケモンの　栄養ドリンク。 ポケモン　１匹の　防御の 基礎ポイントを　あげる。	宝可梦的营养饮料。 能提高１只宝可梦的 防御的基础点数。	寶可夢的營養飲料。 能提高１隻寶可夢的 防禦的基礎點數。
0006-boost_nectar-0000|data.Name		Nectar	Nectar	Nektar			맛있는꿀					
0006-boost_nectar-0001|data.Desc		A drink that permanently raises the Pokémon's stats.	Une boisson très sucrée qui augmente toute les statistiques du Pokémon de façon permanente.	Ein Getränk, das die Basiswerte eines Pokémon dauerhaft erhöht.			마시면 스탯이 영구적으로 상승한다.					
0006-boost_protein-0000|data.Name		Protein	Protéine	Protein	Proteína	Proteína	타우린	Proteina	タウリン	タウリン	攻击增强剂	攻擊增強劑
0006-boost_protein-0001|data.Desc		A drink that permanently raises the Pokémon's Attack.	Une boisson très nutritive qui augmente l’Attaque de base d’un Pokémon.	Ein gehaltvolles Getränk, das den Angriffs-Basiswert eines Pokémon dauerhaft erhöht.	Nutritiva bebida que potencia el Ataque de base de un Pokémon.		마시는 포켓몬의 공격을 영구적으로 올린다.	Bevanda nutriente per Pokémon. Aumenta i punti base dell’Attacco.	ポケモンの　えいようドリンク。 ポケモン　１ひきの　こうげきの きそポイントを　あげる。	ポケモンの　栄養ドリンク。 ポケモン　１匹の　攻撃の 基礎ポイントを　あげる。	宝可梦的营养饮料。 能提高１只宝可梦的 攻击的基础点数。	寶可夢的營養飲料。 能提高１隻寶可夢的 攻擊的基礎點數。
0006-boost_zinc-0000|data.Name		Zinc	Zinc	Zink	Zinc	Zinco	키토산	Zinco	キトサン	キトサン	特防增强剂	特防增強劑
0006-boost_zinc-0001|data.Desc		A drink that permanently raises the Pokémon's Special Defense.	Une boisson très nutritive qui augmente la Défense Spéciale de base d’un Pokémon.	Ein gehaltvolles Getränk, das den Spezial-Verteidigungs-Basiswert eines Pokémon dauerhaft erhöht.	Nutritiva bebida que aumenta la Defensa Especial de base de un Pokémon.		마시는 포켓몬의 특수방어를 영구적으로 올린다.	Bevanda nutriente per Pokémon. Aumenta i punti base della Difesa Speciale.	ポケモンの　えいようドリンク。 ポケモン　１ひきの　とくぼうの きそポイントを　あげる。	ポケモンの　栄養ドリンク。 ポケモン　１匹の　特防の 基礎ポイントを　あげる。	宝可梦的营养饮料。 能提高１只宝可梦的 特防的基础点数。	寶可夢的營養飲料。 能提高１隻寶可夢的 特防的基礎點數。
0006-medicine_amber_tear-0000|data.Name		Amber Tear	Larme Ambrée	Amberträne			등색의눈물					
0006-medicine_amber_tear-0001|data.Desc		An amber liquid that sparkles like crystal-clear tears, rumored to be the most precious of even the rarest treasures. It raises the Pokémon's chances of recruitment on the floor it's used.	Un liquide ambré qui scintille de mille feu, on dit que le plus précieux de tout les trésors. Augmente les chances du porteur de recruter des Pokémon dans l'équipe.	Eine bernsteinfarbige Träne. Gerüchten nach soll es das Wertvollste aller seltenen Schätze sein. Sie erhöht auf der Ebene auf der sie verwendet wird die Chance wilde Pokémon zu rekrutieren.			호박과도 같은 투명한 빛깔의 반짝이는 액체. 귀중한 보물 중에서도 보물이라는 소문이다. 야생의 포켓몬이 마시게 되면 마음이 누그러질지도 모른다.					
0007-medicine_dire_hit-0000|data.Name		Dire Hit	Muscle +	Angriffplus	Directo		크리티컬커터	Supercolpo	クリティカット	クリティカット	要害攻击	要害攻擊
0007-medicine_dire_hit-0001|data.Desc		An item that raises critical-hit ratio. It affects all team members up to 3 tiles away.	Un objet qui augmente le taux de coups critiques. Affecte les membres de l'équipe sur une portée de 3 cases.	Ein Item, das die kritische Trefferchance stark erhöht. Es wirkt auf Teammitglieder im Umkreis von 3 Feldern.			치명타율을 크게 올리는 도구. 3칸 범위 내의 모든 동료가 영향받는다.					
0007-medicine_elixir-0000|data.Name		Elixir	Élixir	Elixier	Elixir	Elixir	PP에이더	Elisir	ピーピーエイダー	ピーピーエイダー	ＰＰ多项小补剂	ＰＰ多項小補劑
0007-medicine_elixir-0001|data.Desc		A spray-type medicine that somewhat restores PP. It affects all team members up to 5 tiles away.	Un médicament en spray qui soigne légèrement les PP. Affecte tous les membres de l'équipe sur une portée de 5 cases.									
0007-medicine_full_heal-0000|data.Name		Full Heal	Total Soin	Hyperheiler	Cura Total		만병통치제	Cura Totale	なんでもなおし	なんでもなおし	万灵药	萬靈藥
0007-medicine_full_heal-0001|data.Desc		A spray-type medicine that cures status problems. It affects all team members up to 3 tiles away.	Un médicament en spray qui soigne les problèmes de status. Affecte tous les membres de l'équipe sur une portée de 3 cases.									
0007-medicine_full_restore-0000|data.Name		Full Restore	Guérison	Top-Genesung	Restaurar Todo		회복약	Ricarica Totale	かいふくのくすり	かいふくのくすり	全复药	全復藥
0007-medicine_full_restore-0001|data.Desc												
0007-medicine_guard_spec-0000|data.Name		Guard Spec.	Défense Spéciale	Megablock	Protec. Especial		이펙트가드	Superguardia	エフェクトガード	エフェクトガード	能力防守	能力防守
0007-medicine_guard_spec-0001|data.Desc												
0007-medicine_max_elixir-0000|data.Name		Max Elixir	Max Élixir	Top-Elixier	Elixir Máximo		PP맥스	Elisir Max	ピーピーマックス	ピーピーマックス	ＰＰ多项全补剂	ＰＰ多項全補劑
0007-medicine_max_elixir-0001|data.Desc		A spray-type medicine that completely restores PP. It affects all team members up to 3 tiles away.	Un médicament en spray qui soigne complètement les PP. Affecte tous les membres de l'équipe sur une portée de 3 cases.									
0007-medicine_max_potion-0000|data.Name		Max Potion	Potion Max	Top-Trank	Poción Máxima	Poção Máxima	풀회복약	Pozione Max	まんたんのくすり	まんたんのくすり	全满药	全滿藥
0007-medicine_max_potion-0001|data.Desc		A spray-type medicine that fully restores HP. It affects all team members up to 3 tiles away.	Un médicament en spray qui soigne complètement les PV. Affecte tous les membres de l'équipe sur une portée de 3 cases.									
0007-medicine_potion-0000|data.Name		Potion	Potion	Trank	Poción	Poção	상처약	Pozione	キズぐすり	キズぐすり	伤药	傷藥
0007-medicine_potion-0001|data.Desc		A spray-type medicine that somewhat restores HP. It affects all team members up to 5 tiles away.	Un médicament en spray qui soigne légèrement les PV. Affecte tous les membres de l'équipe sur une portée de 5 cases.									
0007-medicine_x_accuracy-0000|data.Name		X Accuracy	Précision +	X-Treffer	Precisión X		잘-맞히기	Precisione X	ヨクアタール	ヨクアタール	命中强化	命中強化
0007-medicine_x_accuracy-0001|data.Desc		An item that sharply raises Accuracy. It affects all team members up to 3 tiles away.	Un objet qui augmente drastiquement la Précision. Affecte les membres de l'équipe sur une portée de 3 cases.	Ein Item, das die Genauigkeit stark erhöht. Es wirkt auf Teammitglieder im Umkreis von 3 Feldern.			명중률을 크게 올리는 도구. 3칸 범위 내의 모든 동료가 영향받는다.					
0007-medicine_x_attack-0000|data.Name		X Attack	Attaque +	X-Angriff	Ataque X		플러스파워	Attacco X	プラスパワー	プラスパワー	力量强化	力量強化
0007-medicine_x_attack-0001|data.Desc		An item that sharply raises Attack. It affects all team members up to 3 tiles away.	Un objet qui augmente drastiquement l' Attaque. Affecte les membres de l'équipe sur une portée de 3 cases.	Ein Item, das den Angriff stark erhöht. Es wirkt auf Teammitglieder im Umkreis von 3 Feldern.			공격을 크게 올리는 도구. 3칸 범위 내의 모든 동료가 영향받는다.					
0007-medicine_x_defense-0000|data.Name		X Defense	Défense +	X-Abwehr	Defensa X		디펜드업	Difesa X	ディフェンダー	ディフェンダー	防御强化	防禦強化
0007-medicine_x_defense-0001|data.Desc		An item that sharply raises Defense. It affects all team members up to 3 tiles away.	Un objet qui augmente drastiquement la Défense. Affecte les membres de l'équipe sur une portée de 3 cases.	Ein Item, das die Abwehr stark erhöht. Es wirkt auf Teammitglieder im Umkreis von 3 Feldern.			방어를 크게 올리는 도구. 3칸 범위 내의 모든 동료가 영향받는다.					
0007-medicine_x_sp_atk-0000|data.Name		X Sp. Atk	Special +	X-Spezial	Especial X		스페셜업	Special X	スペシャルアップ	スペシャルアップ	特攻强化	特攻強化
0007-medicine_x_sp_atk-0001|data.Desc		An item that sharply raises Special Attack. It affects all team members up to 3 tiles away.	Un objet qui augmente drastiquement l' Attaque Sp. Affecte les membres de l'équipe sur une portée de 3 cases.	Ein Item, das den Spezial-Angriff stark erhöht. Es wirkt auf Teammitglieder im Umkreis von 3 Feldern.			특수공격을 크게 올리는 도구. 3칸 범위 내의 모든 동료가 영향받는다.					
0007-medicine_x_sp_def-0000|data.Name		X Sp. Def	Déf. Spé. +	X-SpezialVer	Def. Especial X		스페셜가드	Dif. Speciale X	スペシャルガード	スペシャルガード	特防强化	特防強化
0007-medicine_x_sp_def-0001|data.Desc		An item that sharply raises Special Defense. It affects all team members up to 3 tiles away.	Un objet qui augmente drastiquement la Défense Sp. Affecte les membres de l'équipe sur une portée de 3 cases.	Ein Item, das die Spezial-Verteidigung stark erhöht. Es wirkt auf Teammitglieder im Umkreis von 3 Feldern.			특수방어를 크게 올리는 도구. 3칸 범위 내의 모든 동료가 영향받는다.					
0007-medicine_x_speed-0000|data.Name		X Speed	Vitesse +	X-Tempo	Velocidad X		스피드업	Velocità X	スピーダー	スピーダー	速度强化	速度強化
0007-medicine_x_speed-0001|data.Desc		An item that boosts Movement Speed by 1 stage. It affects all team members up to 3 tiles away.	Un objet qui augmente la vitesse de 1 point. Affecte les membres de l'équipe sur une portée de 3 cases.	Ein Item, das die Bewegungsgeschwindigkeit um 1 erhöht. Es wirkt auf Teammitglieder im Umkreis von 3 Feldern.			행동속도를 1단계 올리는 도구. 3칸 범위 내의 모든 동료가 영향받는다.					
0008-apricorn_big-0000|data.Name		Big Apricorn	Noigrume Grosse									
0008-apricorn_big-0001|data.Desc		An apricorn with a pleasant scent. It can tossed at wild Pokémon as a gift for a high chance to recruit them into the team.	Un Noigrume avec une odeur agréable. Il peut être lancé aux Pokémon sauvages comme un cadeau pour avoir une grande chance de les recruter dans l'équipe.									
0008-apricorn_black-0000|data.Name		Black Apricorn	Noigrume Noir									
0008-apricorn_black-0001|data.Desc		An apricorn that can be tossed at Ghost- or Dark-type Pokémon as a gift for a high chance to recruit them into the team.	Un Noigrume qui peut être lancé à un Pokémon de type Spectre ou Ténèbres comme cadeau, l'invitant à rejoindre l'équipe. Taux de réussite élevé.									
0008-apricorn_blue-0000|data.Name		Blue Apricorn	Noigrume Bleu	Blaue Aprikoko			파란규토리					
0008-apricorn_blue-0001|data.Desc		An apricorn that can be tossed at Water- or Ice-type Pokémon as a gift for a high chance to recruit them into the team.	Un Noigrume qui peut être lancé à un Pokémon de type Eau ou Glace comme cadeau l'invitant à rejoindre l'équipe. Taux de réussite élevé.	Eine Aprikoko, die geworfen wird um ein Pokémon ins Team einzuladen. Es besteht eine besonders große Chance auf Rekrutierung von Pokémon der Typen Wasser und Eis.			물타입 또는 얼음타입의 야생포켓몬에게 선물로 던져, 높은 확률로 동료로 영입할 수 있다.					
0008-apricorn_brown-0000|data.Name		Brown Apricorn	Noigrume Marron	Braune Aprikoko			갈색규토리					
0008-apricorn_brown-0001|data.Desc		An apricorn that can be tossed at Fighting-, Rock-, or Ground-type Pokémon as a gift for a high chance to recruit them into the team.	Un Noigrume qui peut être lancé à un Pokémon de type Combat, Roche ou Sol comme cadeau l'invitant à rejoindre l'équipe. Taux de réussite élevé.	Eine Aprikoko, die geworfen wird um ein Pokémon ins Team einzuladen. Es besteht eine besonders große Chance auf Rekrutierung von Pokémon der Typen Kampf, Gestein und Boden.			격투타입, 바위타입, 땅타입 야생포켓몬에게 선물로 던져, 높은 확률로 동료로 영입할 수 있다.					
0008-apricorn_green-0000|data.Name		Green Apricorn	Noigrume Vert	Grüne Aprikoko			초록규토리					
0008-apricorn_green-0001|data.Desc		An apricorn that can be tossed at Grass- or Bug-type Pokémon as a gift for a high chance to recruit them into the team.	Un Noigrume qui peut être lancé à un Pokémon de type Plante ou Insecte comme cadeau l'invitant à rejoindre l'équipe. Taux de réussite élevé.	Eine Aprikoko, die geworfen wird um ein Pokémon ins Team einzuladen. Es besteht eine besonders große Chance auf Rekrutierung von Pokémon der Typen Pflanze und Käfer.								
0008-apricorn_perfect-0000|data.Name		Perfect Apricorn	Noigrume Parfaite	Perfekte Aprikoko			완벽규토리					
0008-apricorn_perfect-0001|data.Desc		A beautiful apricorn with an indescribable scent. It can be tossed at wild Pokémon as a gift to recruit them into the team without any hesitation.	Un Noigrume magnifique à l'odeur indescriptible. Hors de question de le donner! Mais si cela arrivait le Pokémon honoré rejoindrait immédiatement l'équipe.	Diese Aprikoko hat einen unbeschreiblichen Geruch. Sie kann auf wilde Pokémon geworfen werden um sie ohne Zweifel ins Team zu rekrutieren.			이루 말할 수 없는 향의 아름다운 규토리. 야생포켓몬에게 선물로 던지면 주저없이 동료가 되어줄 것이다.					
0008-apricorn_plain-0000|data.Name		Plain Apricorn	Noigrume Simple	Aprikoko			보통규토리					
0008-apricorn_plain-0001|data.Desc		An apricorn with a pleasant scent. It can tossed at wild Pokémon of any type, as a gift to recruit them into the team.	Un Noigrume à l'odeur agréable. Il peut être lancé sur un Pokémon comme cadeau l'invitant à rejoindre l'équipe.	Eine wohlriechende Aprikoko. Sie kann als Geschenk auf jeden Typ von Pokémon geworfen werden um es ins Team einzuladen.			향긋한 큐토리. 아무 타입의 야생포켓몬에게 선물로 던져, 동료로 영입할 수 있다.					
0008-apricorn_purple-0000|data.Name		Purple Apricorn	Noigrume Mauve	Lilane Aprikoko			보라규토리					
0008-apricorn_purple-0001|data.Desc		An apricorn that can be tossed at Poison- or Psychic-type Pokémon as a gift for a high chance to recruit them into the team.	Un Noigrume qui peut être lancé à un Pokémon de type Poison ou Psy comme cadeau l'invitant à rejoindre l'équipe. Taux de réussite élevé.	Eine Aprikoko, die geworfen wird um ein Pokémon ins Team einzuladen. Es besteht eine besonders große Chance auf Rekrutierung von Pokémon der Typen Gift und Psycho.								
0008-apricorn_red-0000|data.Name		Red Apricorn	Noigrume Rouge	Rote Aprikoko			빨간규토리					
0008-apricorn_red-0001|data.Desc		An apricorn that can be tossed at Fire- or Dragon-type Pokémon as a gift for a high chance to recruit them into the team.	Un Noigrume qui peut être lancé à un Pokémon de type Feu ou Dragon comme cadeau l'invitant à rejoindre l'équipe. Taux de réussite élevé.	Eine Aprikoko, die geworfen wird um ein Pokémon ins Team einzuladen. Es besteht eine besonders große Chance auf Rekrutierung von Pokémon der Typen Feuer und Drache.			불타입 또는 드래곤타입 야생포켓몬에게 선물로 던져, 높은 확률로 동료로 영입할 수 있다.					
0008-apricorn_white-0000|data.Name		White Apricorn	Noigrume Blanc	Weiße Aprikoko			하얀규토리					
0008-apricorn_white-0001|data.Desc		An apricorn that can be tossed at Normal-, Flying-, or Fairy-type Pokémon as a gift for a high chance to recruit them into the team.	Un Noigrume qui peut être lancé à un Pokémon de type Normal, Vol, ou Fée comme cadeau, l'invitant à rejoindre l'équipe. Taux de réussite élevé.	Eine Aprikoko, die geworfen wird um ein Pokémon ins Team einzuladen. Es besteht eine besonders große Chance auf Rekrutierung von Pokémon der Typen Normal, Flug und Fee.			노멀타입, 비행타입, 페어리타입 야생포켓몬에게 선물로 던져, 높은 확률로 동료로 영입할 수 있다.					
0008-apricorn_yellow-0000|data.Name		Yellow Apricorn	Noigrume Jaune	Gelbe Aprikoko			노랑규토리					
0008-apricorn_yellow-0001|data.Desc		An apricorn that can be tossed at Electric- or Steel-type Pokémon as a gift for a high chance to recruit them into the team.	Un Noigrume qui peut être lancé à un Pokémon de type Électrick ou Acier comme cadeau, l'invitant à rejoindre l'équipe. Taux de réussite élevé.	Eine Aprikoko, die geworfen wird um ein Pokémon ins Team einzuladen. Es besteht eine besonders große Chance auf Rekrutierung von Pokémon der Typen Elektro und Stahl.			전기타입 또는 강철타입 야생포켓몬에게 선물로 던져, 높은 확률로 동료로 영입할 수 있다.					
0009-ammo_cacnea_spike-0000|data.Name		Cacnea Spike	Cacnepic	Tuskadorn			선인왕가시					
0009-ammo_cacnea_spike-0001|data.Desc		A weapon to be hurled. It flies in a straight line to inflict damage and sharply lowers the Attack of any Pokémon it hits.										
0009-ammo_corsola_twig-0000|data.Name		Corsola Twig	Corapic	Corasonnast			코산호가시					
0009-ammo_corsola_twig-0001|data.Desc		A weapon to be hurled. It flies in a straight line to inflict damage and sharply lowers the Sp.Atk of any Pokémon it hits.										
0009-ammo_geo_pebble-0000|data.Name		Geo Pebble	Racaillasse	Kleinkiesel			돌멩이					
0009-ammo_geo_pebble-0001|data.Desc		A weapon to be thrown. It flies high in an arc to clear obstacles and strike the target. It causes the target to flinch.										
0009-ammo_golden_thorn-0000|data.Name		Golden Thorn	Epine d'Or	Golddorn			황금가시					
0009-ammo_golden_thorn-0001|data.Desc		A brilliantly shining thorn crafted from solid gold. It is a fantastically precious item that gives its owner serious bragging rights. When hurled, it flies in a straight line to inflict damage on any Pokémon it hits, scattering coins everywhere.	Epine en or massif brillant d'un vif éclat. Il s'agit d'un objet très précieux qui suscite une immense fierté chez son détenteur. Projetée, elle file en ligne droite et inflige des dégâts au Pokémon qu'elle touche. Dépose des Poké sur le sol.	Ein brilliant scheinender Dorn, welcher aus festem Gold hergestellt wurde. Es ist ein fantastisch kostbares Item, mit dem der Besitzer das Recht hat anzugeben. Wenn dieser geworfen wird, fliegt er in einer geraden Linie, fügt jedem getroffenen Pokémon Schaden zu und verstreut überall Münzen.			순금으로 조각한 훌륭히 빛나는 가시. 기가 막히게 귀중한 도구이기에 곳곳에 자랑하는 것도 좋을 것이다. 던지면 직선으로 날아가 맞는 포켓몬에게 데미지를 입히고, 동전이 마구 떨어져나온다.					
0009-ammo_gravelerock-0000|data.Name		Gravelerock	Gravalroche	Georokbrock			데구리돌					
0009-ammo_gravelerock-0001|data.Desc		A weapon to be thrown. It flies high in an arc to clear obstacles and strike the target's area.	Objet à lancer dont la trajectoire décrit une courbe par-dessus les obstacles pour toucher la cible.	Wurfwaffe die im hohen Bogen geworfen wird um Hindernisse zu umgehen und den Zielbereich zu treffen.			던지는 무기. 높은 포물선을 그리며 날아가 대상의 주변을 맞춘다.					
0009-ammo_iron_thorn-0000|data.Name		Iron Thorn	Epine de Fer	Eisendorn			철가시					
0009-ammo_iron_thorn-0001|data.Desc		A weapon to be hurled. It flies in a straight line to inflict damage on any Pokémon it hits. Critical hits land more easily.	Objet à lancer qui inflige des dégâts et baisse l'Attaque du Pokémon qu'il touche. Taux de coups critiques élevé.	Eine Wurfwaffe. Fliegt in einer graden Linie und fügt Schaden zu. Kritische Trefferchance ist höher.			던지는 무기. 직선으로 날아가 맞는 포켓몬에게 데미지를 입힌다. 급소에 맞기 쉽다.					
0009-ammo_rare_fossil-0000|data.Name		Rare Fossil	Fossile Rare	Rares Fossil			태고화석					
0009-ammo_rare_fossil-0001|data.Desc		A weapon to be thrown. It flies high in an arc to clear obstacles and strike the target's area. It deals Special damage.	Fossile merveilleux semblant irradier une énergie préhistorique. C'est aussi une arme à lancer dont la trajectoire décrit un arc de cercle pour éviter les obstacles et toucher sa cible. Dégât basés sur l'Attaque Sp.	Wurfwaffe die im hohen Bogen geworfen wird um Hindernisse zu umgehen und den Zielbereich zu treffen. Fügt speziellen Schaden zu.			던지는 무기. 높은 포물선을 그리며 날아가 대상의 주변을 맞춘다. 특수데미지를 입힌다.					
0009-ammo_silver_spike-0000|data.Name		Silver Spike	Pic d'Argent	Silberdorn			은바늘					
0009-ammo_silver_spike-0001|data.Desc		A weapon to be hurled. It flies in a straight line to inflict damage to any Pokémon it hits, passing through walls.	Objet à lancer qui inflige des dégâts au Pokémon qu'il touche. Passe à travers les murs.	Eine Wurfwaffe. Fliegt in einer graden Linie und fügt Schaden zu. Durchdringt Wände.			던지는 무기. 벽을 관통하며 직선으로 날아가 맞는 포켓몬에게 데미지를 입힌다.					
0009-ammo_stick-0000|data.Name		Stick	Bâton	Stock			나뭇가지					
0009-ammo_stick-0001|data.Desc		A weapon to be hurled. It flies in a straight line to inflict damage on any Pokémon it hits. It causes the target to flinch.										
0010-evo_chipped_pot-0000|data.Name		Chipped Pot	Théière Ébréchée									
0010-evo_chipped_pot-0001|data.Desc		A peculiar teapot that can make a certain species of Pokémon evolve. It may be chipped, but tea poured from it is delicious.	Un récipient mystérieux pouvant faire évoluer un certain Pokémon. Il est abîmé, mais on y fait du bon thé.									
0010-evo_cracked_pot-0000|data.Name		Cracked Pot	Théière Fêlée									
0010-evo_cracked_pot-0001|data.Desc		A peculiar teapot that can make a certain species of Pokémon evolve. It may be cracked, but tea poured from it is delicious.	Un récipient mystérieux pouvant faire évoluer un certain Pokémon. Il est abîmé, mais on y fait du bon thé.									
0010-evo_dawn_stone-0000|data.Name		Dawn Stone	Pierre Aube	Funkelstein	Piedra Alba		각성의돌	Pietralbore	めざめいし	めざめいし	觉醒之石	覺醒之石
0010-evo_dawn_stone-0001|data.Desc		An odd stone that glints like an eye. It allows certain kinds of Pokémon to evolve.	Une pierre étrange qui fait évoluer certaines espèces de Pokémon. Elle brille comme un œil.	Dieser besondere, glitzernde Stein hilft manchen Pokémon bei ihrer Evolution.	Una piedra peculiar que hace evolucionar a algunos Pokémon. Brilla como un lucero.		어느 특정 포켓몬을 진화시키는 이상한 돌. 눈동자처럼 빛난다.	Pietra particolare che fa evolvere determinate specie di Pokémon. È luccicante come gli occhi.	ある　とくていの　ポケモンを しんかさせる　ふしぎな　いし。 ひとみのように　まばゆい。	ある　特定の　ポケモンを 進化させる　不思議な　石。 ひとみのように　まばゆい。	能让某些特定宝可梦 进化的神奇石头。 像眼眸一般光彩动人。	能讓特定寶可夢 進化的神奇石頭。 像眼眸一般光彩動人。
0010-evo_deep_sea_scale-0000|data.Name		Deep Sea Scale	Écaille Océan	Abyssplatte	Escama Marina		심해의비늘	Squamabissi	しんかいのウロコ	しんかいのウロコ	深海鳞片	深海鱗片
0010-evo_deep_sea_scale-0001|data.Desc		A pretty scale that shines faintly. It allows a certain kind of Pokémon to evolve.	Une jolie écaille rose un peu brillante. Elle permet à certains Pokémon d'évoluer.	Eine schöne Schuppe, welche leicht scheint. Es erlaubt einer bestimmten Art von Pokémon die Entwicklung.			약간 반짝이는 예쁜 비늘. 어떤 포켓몬을 진화시킨다.			パールルに　持たせると 特防が　あがる　ウロコ。 うすい　ピンク色に　光る。	让珍珠贝携带后， 特防就会提高的鳞片。 散发着淡淡的粉红色光芒。	讓珍珠貝攜帶後， 特防就會提高的鱗片。 散發著淡淡的粉紅色光芒。
0010-evo_deep_sea_tooth-0000|data.Name		Deep Sea Tooth	Dent Océan	Abysszahn	Diente Marino		심해의이빨	Dente Abissi	しんかいのキバ	しんかいのキバ	深海之牙	深海之牙
0010-evo_deep_sea_tooth-0001|data.Desc		A supersharp fang with a subtle gleam. It allows a certain kind of Pokémon to evolve.	Une dent très tranchante et argentée. Elle permet à certains Pokémon d'évoluer.	Ein superscharfer Zahn mit einem subtilen Glanz. Es erlaubt einer bestimmten Art von Pokémon die Entwicklung.			약간 빛나는 날카로운 이빨.  어떤 포켓몬을 진화시킨다.			パールルに　持たせると 特攻が　あがる　キバ。 鋭く　銀色に　光る。	让珍珠贝携带后， 特攻就会提高的牙齿。 散发着闪亮的银光。	讓珍珠貝攜帶後， 特攻就會提高的牙齒。 散發著銳利的銀色光芒。
0010-evo_dubious_disc-0000|data.Name		Dubious Disc	CD Douteux	Dubiosdisc	Disco Extraño		괴상한패치	Dubbiodisco	あやしいパッチ	あやしいパッチ	可疑补丁	可疑修正檔
0010-evo_dubious_disc-0001|data.Desc		An enigmatic disc that overflows with dubious data. It allows a certain kind of Pokémon to evolve.	Un disque énigmatique débordant de données doûteuse. Il permet à certains Pokémon d'évoluer.	Diese rätselhafte Disc ist mit dubiosen Daten überfüllt. Es erlaubt bestimmten Pokémon sich zu entwickeln.			안에 괴상한 정보가 가득한 투명한 기계다. 어떤 포켓몬을 진화시킨다.					
0010-evo_dusk_stone-0000|data.Name		Dusk Stone	Pierre Nuit	Finsterstein	Piedra Noche		어둠의돌	Neropietra	やみのいし	やみのいし	暗之石	暗之石
0010-evo_dusk_stone-0001|data.Desc		An odd stone with a mesmerizing darkness. It allows certain kinds of Pokémon to evolve.	Une pierre étrange qui fait évoluer certaines espèces de Pokémon. Elle est sombre comme une nuit sans lune.	Dieser besondere, düstere Stein hilft manchen Pokémon bei ihrer Evolution.	Una piedra peculiar que hace evolucionar a algunos Pokémon. Es oscura como la noche.		어느 특정 포켓몬을 진화시키는 이상한 돌. 빠져들게 되는 어두운 색이다.	Pietra particolare che fa evolvere determinate specie di Pokémon. È scura come le tenebre.	ある　とくていの　ポケモンを しんかさせる　ふしぎな　いし。 やみのように　くらい。	ある　特定の　ポケモンを 進化させる　不思議な　石。 やみのように　暗い。	能让某些特定宝可梦 进化的神奇石头。 像黑夜一般漆黑。	能讓特定寶可夢 進化的神奇石頭。 像黑暗一般漆黑。
0010-evo_electirizer-0000|data.Name		Electirizer	Électriseur	Stromisierer	Electrizador		에레키부스터	Elettritore	エレキブースター	エレキブースター	电力增幅器	電力增幅器
0010-evo_electirizer-0001|data.Desc		A box full of a massive amount of electric energy. It allows a certain kind of Pokémon to evolve.	Une boîte remplie d’une énorme quantité d’énergie électrique. Appréciée d’un certain Pokémon.	Eine Schachtel mit elektrischer Energie. Das Lieblingsstück eines bestimmten Pokémon.	Provoca un ataque de ira en el objetivo que solo le permite usar movimientos de ataque durante tres turnos.		엄청난 전기의 에너지가 비축되어 있는 상자. 어떤 포켓몬을 진화시킨다.	Scatola strapiena di energia elettrica. Piace a un Pokémon in particolare.	とてつもない　でんきの　エネルギーが たくわえられている　はこ。 ある　ポケモンが　このんでいる。	とてつもない　電気の　エネルギーが 蓄えられている　箱。 ある　ポケモンが　好んでいる。	积蓄着庞大电气能量的箱子。 某种宝可梦很喜欢它。	蓄積著龐大 電氣能量的箱子。 某種寶可夢很喜歡它。
0010-evo_everstone-0000|data.Name		Everstone	Pierre Stase	Ewigstein	Piedra Eterna		변함없는돌	Pietrastante	かわらずのいし	かわらずのいし	不变之石	不變之石
0010-evo_everstone-0001|data.Desc												
0010-evo_fire_stone-0000|data.Name		Fire Stone	Pierre Feu	Feuerstein	Piedra Fuego		불꽃의돌	Pietrafocaia	ほのおのいし	ほのおのいし	火之石	火之石
0010-evo_fire_stone-0001|data.Desc		A peculiar orange stone that radiates warmth like a flame. It allows certain kinds of Pokémon to evolve. If held, it changes the Pokémon's regular attacks to Fire-type.										
0010-evo_harmony_scarf-0000|data.Name		Harmony Scarf	Écharpe Harmonie	Freundschaftsschal								
0010-evo_harmony_scarf-0001|data.Desc		A scarf woven from the fibers of a legendary tree. It allows the Pokémon to evolve, regardless of its requirements.	Une écharpe tissée à partir des fibres d'un arbre légendaire. Elle permet au Pokémon d'évoluer, quelles que soient ses exigences.	Ein Schal, der aus den Fasern eines legendären Baumes gewoben wurde. Der Träger kann sich unabhängig von üblichen Voraussetzungen entwickeln.								
0010-evo_ice_stone-0000|data.Name		Ice Stone	Pierre Glace	Eisstein	Piedra Hielo		얼음의돌	Pietragelo	こおりのいし	こおりのいし	冰之石	冰之石
