Key		EN	DE	PT	IT	ZH-HANS	FR	ES	KO	JA	JA-JP	ZH-HANT
0098-quick_attack-0000|data.Name		Quick Attack	Ruckzuckhieb		Attacco Rapido	电光一闪	Vive-Attaque	Ataque Rápido	전광석화	でんこうせっか	でんこうせっか	電光一閃
0098-quick_attack-0001|data.Desc		The user lunges at the target at a speed that makes it almost invisible.	Sehr schneller Angriff der den Anwender nahezu unsichtbar macht.		Il Pokémon colpisce a una tale velocità da rendersi quasi invisibile.	以迅雷不及掩耳之势扑向对手进行攻击。			눈에 보이지 않는 굉장한 속도로 상대에게 돌진한다.			
0099-rage-0000|data.Name		Rage	Raserei		Ira	愤怒	Frénésie	Furia	분노	いかり	いかり	憤怒
0099-rage-0001|data.Desc		As long as this move is in use, the power of rage raises the Attack stat each time the user is hit in battle.	Erhöht Angriff des Anwenders, wenn dieser getroffen wird, solange die Attacke aktiviert ist.		Questa mossa ha il potere di aumentare la statistica Attacco ogni volta che chi la usa viene colpito durante una lotta.	如果在使出招式后受到攻击的话，会因愤怒的力量而提高攻击。	Une fois activée, cette capacité augmente l’Attaque du lanceur à mesure que celui-ci subit des attaques.	Al usarse, aumenta el Ataque del usuario cada vez que es golpeado.	기술을 쓰는 동안, 공격을 받을 때마다 분노의 힘으로 공격이 올라간다.	わざを　だしたときに　こうげきを うけると　いかりの　ちからで こうげきが　あがる。	技を　だしたときに　攻撃を 受けると　怒りの　力で 攻撃が　あがる。	在使用招式後受到攻擊時， 會因憤怒的力量而 提高自己的攻擊。
0100-teleport-0000|data.Name		Teleport	Teleport		Teletrasporto	瞬间移动	Téléport	Teletransporte	순간이동	テレポート	テレポート	瞬間移動
0100-teleport-0001|data.Desc		The user warps itself and nearby allies to a random location on the floor.	Der Anwender teleportiert sich selbst und nahe Verbündete an eine zufällige Position auf der Ebene.		Il Pokémon teletrasporta se stesso e gli alleati vicini in un luogo casuale del piano.	将自己和附近的队友传送至楼层内其他位置。			자신과 근처의 아군을 같은 층의 무작위의 위치로 순간이동한다.			
0101-night_shade-0000|data.Name		Night Shade	Nachtnebel		Ombra Notturna	黑夜魔影	Ombre Nocturne	Tinieblas	나이트헤드	ナイトヘッド	ナイトヘッド	黑夜魔影
0101-night_shade-0001|data.Desc		The user makes the target see a frightening mirage. It inflicts damage equal to the user's level.	Das Ziel sieht eine Illusion. Richtet Schaden gemäß dem Level des Anwenders an.		Il Pokémon fa apparire un orribile miraggio al bersaglio e infligge un danno pari al proprio livello.	显示恐怖幻影，只给予对手和自己等级相同的伤害。	Le lanceur invoque un mirage. Inflige des dégâts équivalents au niveau du lanceur.	Produce un espejismo ante el objetivo, que pierde tantos PS como nivel tenga el agresor.	무시무시한 환상을 보게 해서 자신의 레벨과 똑같은 만큼의 데미지를 상대에게 준다.	おそろしい　まぼろしを　 せて じぶんの　レベルと　おなじ　だけの ダメージを　あいてに　あたえる。	恐ろしい　幻を　 せて 自分の　レベルと　同じだけの ダメージを　相手に　与える。	讓對手看見恐怖幻影， 給予對手和自己等級 相同的傷害。
0102-mimic-0000|data.Name		Mimic	Mimikry		Mimica	模仿	Copie	Mimético	흉내내기	ものまね	ものまね	模仿
0102-mimic-0001|data.Desc		The user copies the target's last move. The move can be used during battle until the next floor is reached.	Kopiert die zuvor ausgeführte Attacke des Zieles. Kann bis zum Erreichen der nächsten Ebene verwendet werden.		Il Pokémon copia l'ultima mossa usata dal bersaglio e la conserva finché rimane in quel piano.	复制目标最后一次使用的招式。复制的招式可以在战斗中使用，直到到达下一层。			상대가 마지막에 사용한 기술을 자신의 기술로 만들 수 있다. 다음 층에 도달하기 전까지 사용할 수 있다.			
0103-screech-0000|data.Name		Screech	Kreideschrei		Stridio	刺耳声	Grincement	Chirrido	싫은소리	いやなおと	いやなおと	刺耳聲
0103-screech-0001|data.Desc		An earsplitting screech harshly lowers the target's Defense stat.	Stößt einen Schrei aus, um die Verteidigung des Zieles stark zu senken.		Stridio assordante che riduce di molto la Difesa del bersaglio.	发出不由自主想要捂起耳朵的刺耳声，从而大幅降低对手的防御。	Cri strident qui baisse beaucoup la Défense de l’ennemi.	Alarido agudo que reduce mucho la Defensa del objetivo.	그만 귀를 막아버리고 싶은 싫은 소리를 내어 상대의 방어를 크게 떨어뜨린다.	おもわず　  を　ふさぎたくなる いやなおとを　だして あいての　ぼうぎょを　がくっと　さげる。	おもわず　耳を　ふさぎたくなる いやなおとを　だして 相手の　防御を　がくっと　さげる。	發出令人不由自主想要 摀起耳朵的刺耳聲， 大幅降低對手的防禦。
0104-double_team-0000|data.Name		Double Team	Doppelteam		Doppioteam	影子分身	Reflet	Doble Equipo	그림자분신	かげぶんしん	かげぶんしん	影子分身
0104-double_team-0001|data.Desc		By moving rapidly, the user makes illusory copies of itself to raise its evasiveness.	Erzeugt durch schnelle Bewegungen Ebenbilder, um den Fluchtwert zu erhöhen.		Il Pokémon si muove in fretta e crea copie illusorie di se stesso che aumentano l'elusione.	通过快速移动来制造分身，扰乱对手，从而提高闪避率。	Le lanceur se déplace si vite qu’il crée des copies illusoires de lui, augmentant son Esquive.	Crea copias de sí mismo para mejorar la Evasión.	재빠른 움직임으로 분신을 만들어 상대를 혼란시켜 회피율을 올린다.	すばやい　うごきで　ぶんしんを　つくり あいてを　まどわせて かいひりつを　あげる。	素早い　動きで　分身を　つくり 相手を　まどわせて 回避率を　あげる。	利用快速移動 製造出分身擾亂對手， 提高自己的閃避率。
0105-recover-0000|data.Name		Recover	Genesung		Ripresa	自我再生	Soin	Recuperación	HP회복	じこさいせい	じこさいせい	自我再生
0105-recover-0001|data.Desc		Restoring its own cells, the user restores its own HP by half of its max HP.	Eine Selbstheilung. KP des Anwenders werden um 50 % des maximalen Wertes aufgefüllt.		Mossa autocurativa. Il Pokémon recupera metà dei PS massimi.	让细胞再生，从而回复自己最大HP的一半。	Un soin qui permet au lanceur de récupérer jusqu’à la moitié de ses PV max.	Recuperación celular que restaura la mitad de los PS máximos.	세포를 재생시켜 자신의 최대 HP의 절반만큼 HP를 회복한다.	さいぼうを　さいせい　させて じぶんの　さいだい　ＨＰの はんぶんの　ＨＰを　かいふく　する。	細胞を　再生させて 自分の　最大ＨＰの 半分の　ＨＰを　回復する。	讓細胞再生， 回復自己最大ＨＰ的一半。
0106-harden-0000|data.Name		Harden	Härtner		Rafforzatore	变硬	Armure	Fortaleza	단단해지기	かたくなる	かたくなる	變硬
0106-harden-0001|data.Desc		The user stiffens all the muscles in its body to raise its Defense stat.	Stärkt die Muskulatur und erhöht den Verteidigungs-Wert.		Tutti i muscoli del corpo si tonificano per aumentare la Difesa.	全身使劲，让身体变硬，从而提高自己的防御。	Le lanceur contracte tous ses muscles pour augmenter sa Défense.	Tensa la musculatura del usuario para aumentar la Defensa.	전신에 힘을 담아 몸을 단단하게 해서 자신의 방어를 올린다.	ぜんしんに　ちからを　こめて からだを　かたくして じぶんの　ぼうぎょを　あげる。	全身に　力を　こめて 体を　硬くして 自分の　防御を　あげる。	使用全身的力量讓身體硬化， 提高自己的防禦。
0107-minimize-0000|data.Name		Minimize	Komprimator		Minimizzato	变小	Lilliput	Reducción	작아지기	ちいさくなる	ちいさくなる	變小
0107-minimize-0001|data.Desc		The user compresses its body to make itself look smaller, which sharply raises its evasiveness.	Anwender schrumpft, um seinen Fluchtwert stark zu erhöhen.		Il corpo del Pokémon si comprime e diventa più piccolo. La sua elusione aumenta di molto.	蜷缩身体显得很小，从而大幅提高自己的闪避率。	Le lanceur comprime son corps pour se faire tout petit et augmenter fortement son Esquive.	El usuario mengua para aumentar mucho la Evasión.	몸을 축소하여 작게 보임으로써 자신의 회피율을 크게 올린다.	からだを　ちぢめて　ちいさく　 せて じぶんの　かいひりつを ぐーんと　あげる。	体を　ちぢめて　小さく　 せて 自分の　回避率を ぐーんと　あげる。	蜷縮身體使自己顯得很小， 大幅提高 自己的閃避率。
0108-smokescreen-0000|data.Name		Smokescreen	Rauchwolke		Muro di Fumo	烟幕	Brouillard	Pantalla de Humo	연막	えんまく	えんまく	煙幕
0108-smokescreen-0001|data.Desc		The user releases an obscuring cloud of smoke or ink. This lowers the target's Accuracy.	Senkt Genauigkeit des Zieles mit Rauch, Tinte oder Ähnlichem.		Nuvola di fumo o inchiostro che riduce la precisione del bersaglio.	向对手喷出烟或墨汁等，从而降低对手的命中率。	Le lanceur disperse un nuage d’encre ou de fumée. Réduit la Précision de l’ennemi.	Baja la Precisión del objetivo con una nube de humo o tinta.	연기나 먹물을 내뿜어 상대의 명중률을 떨어뜨린다.	けむりや　スミなどを　ふきかけて あいての　めいちゅうりつを　さげる。	煙や　墨などを　吹きかけて 相手の　命中率を　さげる。	向對手噴出煙霧或墨汁等， 降低對手的命中率。
0109-confuse_ray-0000|data.Name		Confuse Ray	Konfustrahl		Stordiraggio	奇异之光	Onde Folie	Rayo Confuso	이상한빛	あやしいひかり	あやしいひかり	奇異之光
0109-confuse_ray-0001|data.Desc		The target is exposed to a sinister ray that triggers confusion.	Ein fieser Strahl, der das Ziel verwirrt.		Colpisce il bersaglio con un raggio funesto che lo confonde.	显示奇怪的光，扰乱对手。使对手混乱。	Un rayon sinistre qui plonge l’ennemi dans un état de confusion.	Rayo siniestro que confunde al objetivo.	이상한 빛을 상대에게 비춰 당황하게 한다. 상대를 혼란시킨다.	あやしい　ひかりを あいてに　 せて　まどわせる。 あいてを　こんらん　させる。	怪しい　光を 相手に　 せて　まどわせる。 相手を　混乱させる。	讓對手看奇怪的光線 擾亂對手。 使對手混亂。
0110-withdraw-0000|data.Name		Withdraw	Panzerschutz		Ritirata	缩入壳中	Repli	Refugio	껍질에숨기	からにこもる	からにこもる	縮入殼中
0110-withdraw-0001|data.Desc		The user withdraws its body into its hard shell, raising its Defense stat.	Rückzug in den harten Panzer. Erhöht den Verteidigungs-Wert.		Il Pokémon si ritira nel suo duro guscio per aumentare la Difesa.	缩入壳里保护身体，从而提高自己的防御。	Le lanceur se recroqueville dans sa carapace, ce qui augmente sa Défense.	El usuario se resguarda en su coraza por lo que le sube la Defensa.	껍질에 숨어 몸을 보호하여 자신의 방어를 올린다.	からに　もぐりこんで　 をまもり じぶんの　ぼうぎょを　あげる。	殻に　潜りこんで　身を守り 自分の　防御を　あげる。	縮入殼中保護身體， 提高自己的防禦。
0111-defense_curl-0000|data.Name		Defense Curl	Einigler		Ricciolscudo	变圆	Boul'Armure	Rizo Defensa	웅크리기	まるくなる	まるくなる	變圓
0111-defense_curl-0001|data.Desc		The user curls up to conceal weak spots and raise its Defense stat.	Verbirgt Schwächen durch Einrollen und hebt gleichzeitig den Verteidigungs-Wert.		Il Pokémon si raggomitola per nascondere i punti deboli e aumentare la propria Difesa.	将身体蜷曲变圆，从而提高自己的防御。	Le lanceur s’enroule pour cacher ses points faibles, ce qui augmente sa Défense.	Se enrosca para ocultar su punto débil. Sube la Defensa.	몸을 둥글게 웅크려서 약점을 가려 방어를 올린다.	からだを　まるめて　ちぢこまり じぶんの　ぼうぎょを　あげる。	体を　まるめて　ちぢこまり 自分の　防御を　あげる。	將身體蜷縮成圓形， 提高自己的防禦。
0112-barrier-0000|data.Name		Barrier	Barriere		Barriera	屏障	Bouclier	Barrera	배리어	バリアー	バリアー	屏障
0112-barrier-0001|data.Desc		The user throws up a sturdy wall that sharply raises the party's Defense stat.	Erzeugt eine Barriere, die den Verteidigungs-Wert stark erhöht.		Il Pokémon innalza una barriera resistente che aumenta molto la Difesa.	制造坚固的壁障，从而大幅提高自己的防御。	Le lanceur érige un mur solide qui augmente fortement sa Défense.	Crea una barrera que aumenta mucho la Defensa.	튼튼한 장막을 만들어 아군의 방어를 크게 올린다.	がんじょうな　かべを　つくって じぶんの　ぼうぎょを　ぐーんと　あげる。	頑丈な　壁を　つくって 自分の　防御を　ぐーんと　あげる。	製造堅固的屏障， 大幅提高自己的防禦。
0113-light_screen-0000|data.Name		Light Screen	Lichtschild		Schermoluce	光墙	Mur Lumière	Pantalla de Luz	빛의장막	ひかりのかべ	ひかりのかべ	光牆
0113-light_screen-0001|data.Desc		A wondrous wall of light is put up to reduce damage from special attacks for ten turns.	Erzeugt eine Lichtwand und senkt den Schaden durch Spezial-Angriffe für zehn Runden.		Il Pokémon innalza una barriera misteriosa che riduce i danni degli attacchi speciali subiti per dieci turni.	在10回合内使用神奇的墙，减弱从对手那受到的特殊攻击的伤害。			10턴 동안 신비한 장막으로 상대로부터 받는 특수공격의 데미지를 약하게 한다.			
0114-haze-0000|data.Name		Haze	Dunkelnebel		Nube	黑雾	Buée Noire	Niebla	흑안개	くろいきり	くろいきり	黑霧
0114-haze-0001|data.Desc		The user creates a haze that eliminates every stat change.	Erzeugt einen dunklen Nebel. Alle Veränderungen der Statuswerte der Kampfteilnehmer werden annulliert.		Il Pokémon crea una nube nera che annulla ogni modifica alle statistiche di tutti i Pokémon in campo.	放出能清除能力变化的黑雾。	Un brouillard qui annule les changements de stats de tous les Pokémon au combat.	Neblina que elimina los cambios de características de todos los Pokémon en combate.	흑안개를 뿜어 근처의 모든 포켓몬의 능력 변화를 원래대로 돌린다.	くろいきりを　だして　せんとうに でている　ポケモン　ぜんいんの のうりょく　へんかを　もとに　もどす。	黒い霧を　だして　戦闘に でている　ポケモン　全員の 能力変化を　もとに　もどす。	
0115-reflect-0000|data.Name		Reflect	Reflektor		Riflesso	反射壁	Protection	Reflejo	리플렉터	リフレクター	リフレクター	反射壁
0115-reflect-0001|data.Desc		A wondrous wall of light is put up to reduce damage from physical attacks for ten turns.	Eine mysteriöse Wand, die zehn Runden den Schaden von physischen gegnerischen Treffern reduziert.		Il Pokémon innalza una barriera misteriosa che riduce i danni degli attacchi fisici subiti per dieci turni.	在10回合内使用神奇的墙，减弱从对手那受到的物理攻击的伤害。			10턴 동안 이상한 장막으로 상대로부터 받는 물리공격의 데미지를 약하게 한다.			
0116-focus_energy-0000|data.Name		Focus Energy	Energiefokus		Focalenergia	聚气	Puissance	Foco Energía	기충전	きあいだめ	きあいだめ	聚氣
0116-focus_energy-0001|data.Desc		The user takes a deep breath and focuses so that critical hits land more easily.	Anwender atmet ein und bündelt Kraft. Die Volltrefferquote steigt dadurch.		Il Pokémon fa un profondo respiro e si concentra per rendere più probabili i brutti colpi.	深深地吸口气，集中精神。自己的攻击会变得容易击中要害。	Le lanceur prend une profonde inspiration et se concentre pour augmenter son taux de critiques.	Concentra energía para aumentar las posibilidades de un golpe crítico.	깊게 숨을 들이마셔 기합을 넣는다. 자신의 공격이 급소에 맞기 쉬워진다.	ふかく　いきを　すい　きあいを　こめる。 じぶんの　こうげきが きゅうしょに　あたりやすく　なる。	深く　息を　吸い　気合を　こめる。 自分の　攻撃が 急所に　当たりやすくなる。	深呼吸後集中精神。 讓自己的攻擊 變得容易擊中要害。
0117-bide-0000|data.Name		Bide	Geduld		Pazienza	忍耐	Patience	Venganza	참기	がまん	がまん	忍耐
0117-bide-0001|data.Desc		The user endures attacks for two turns, then strikes back to cause double the damage taken.	Erträgt zwei Runden Angriffe und schlägt dann mit dem doppelten Wert des erlittenen Schadens zurück.		Il Pokémon che la usa subisce attacchi per due turni e poi restituisce il danno moltiplicato per due.	在2回合内忍受攻击，受到的伤害会2倍返还给对手。	Le lanceur encaisse les coups durant deux tours et réplique en infligeant le double des dégâts subis.	Espera dos turnos para atacar con el doble de potencia del daño recibido.	2턴 동안 공격을 견뎌 입은 데미지를 2배로 만들어 상대에게 돌려준다.	２ターンの　あいだ　こうげきに　たえて うけた　ダメージを　２ばいに　して あいてに　かえす。	２ターンの　あいだ　攻撃に　たえて 受けた　ダメージを　２倍にして 相手に　返す。	在２回合內忍受攻擊， 然後將受到的傷害 加倍返還給對手。
0118-metronome-0000|data.Name		Metronome	Metronom		Metronomo	挥指	Métronome	Metrónomo	손가락흔들기	ゆびをふる	ゆびをふる	揮指
0118-metronome-0001|data.Desc		The user waggles a finger and stimulates its brain into randomly using nearly any move.	Bewegt Finger, um das Gehirn zu stimulieren. Wählt zufällig eine Attacke aus.		Il Pokémon fa di no con il dito e stimola il cervello a usare a caso una delle tante mosse esistenti.	挥动手指刺激自己的大脑，从所有的招式中任意使出1个。	Agite un doigt et stimule le cerveau pour utiliser presque n’importe quelle capacité au hasard.	El usuario mueve un dedo y estimula su cerebro para usar al azar casi cualquier movimiento.	손가락을 흔들어 자신의 뇌를 자극해서 거의 모든 기술 중 어느 하나를 날린다.	ゆびをふり　じぶんの　のうを　しげきして すべての　わざの　なかから どれか　１つを　くりだす。	指をふり　自分の　脳を　刺激して すべての　技の　なかから どれか　１つを　くりだす。	揮動手指刺激自己的大腦， 從全部的招式中 隨機選出１招使出。
0119-mirror_move-0000|data.Name		Mirror Move	Spiegeltrick		Speculmossa	鹦鹉学舌	Mimique	Mov. Espejo	따라하기	オウムがえし	オウムがえし	鸚鵡學舌
0119-mirror_move-0001|data.Desc		The user counters the target by mimicking the last move used on it.	Kopiert die letzte Attacke des Zieles und greift es an.		Il Pokémon colpisce il bersaglio copiandone l'ultima mossa usata.	模仿对手使用的招式，自己也使用相同招式。	Le lanceur riposte à l’attaque de l’ennemi avec la même attaque.	Contraataca con el mismo movimiento empleado por el objetivo.	상대가 사용한 기술을 흉내 내어 자신도 똑같은 기술을 쓴다.	あいての　つかった　わざを　まねして じぶんも　おなじ　わざを　つかう。	相手の　使った　技を　まねして 自分も　同じ技を　使う。	模仿對手使用的招式， 自己也使用相同招式。
0120-self_destruct-0000|data.Name		Self-Destruct	Finale		Autodistruzione	自爆	Destruction	Autodestrucción	자폭	じばく	じばく	自爆
0120-self_destruct-0001|data.Desc		The user attacks everything around it by causing an explosion. The user takes some damage too.	Anwender sprengt sich, richtet rundum Schaden an und wird dabei selbst verletzt.		Chi la usa attacca gli altri Pokémon attorno causando un'esplosione che arreca danni anche all'utilizzatore.	引发爆炸，攻击自己周围所有的宝可梦。使用者也会受到伤害。			폭발을 일으켜서 자신의 주위에 있는 포켓몬을 공격한다. 자신도 약간의 데미지를 입는다.			
0121-egg_bomb-0000|data.Name		Egg Bomb	Eierbombe		Uovobomba	炸蛋	Bomb'Œuf	Bomba Huevo	알폭탄	タマゴばくだん	タマゴばくだん	炸蛋
0121-egg_bomb-0001|data.Desc		A large egg is hurled at the target with maximum force to inflict damage.	Ein großes Ei wird auf das Ziel abgefeuert, um ihm zu schaden.		Il Pokémon colpisce il bersaglio con un grande uovo scaraventato con enorme forza.	向对手用力投掷大大的蛋进行攻击。	De toutes ses forces, le lanceur jette un gros œuf sur l’ennemi pour lui infliger des dégâts.	Arroja un huevo al objetivo con gran fuerza.	큰 알을 온 힘을 다해 상대에게 내던져서 공격한다.	おおきな　タマゴを　ちから　いっぱい あいてに　なげつけて　こうげきする。	大きな　タマゴを　力いっぱい 相手に　投げつけて　攻撃する。	向對手用力投擲 大大的蛋進行攻擊。
0122-lick-0000|data.Name		Lick	Schlecker		Leccata	舌舔	Léchouille	Lengüetazo	핥기	したでなめる	したでなめる	舌舔
0122-lick-0001|data.Desc		The target is licked with a long tongue. This may also leave the target with paralysis.	Leck-Attacke mit langer Zunge. Das Ziel wird eventuell paralysiert.		Il Pokémon attacca il bersaglio leccandolo con la sua lingua lunga. Può anche paralizzarlo.	用长长的舌头，舔遍对手进行攻击。有时会让对手陷入麻痹状态。	Un grand coup de langue qui inflige des dégâts à l’ennemi. Peut aussi le paralyser.	Una lengua ataca al objetivo. Puede causar parálisis.	긴 혀로 상대를 핥아서 공격한다. 마비 상태로 만들 때가 있다.	ながい　したで あいてを　なめまわして　こうげきする。 まひ　じょうたいに　することが　ある。	長い　舌で 相手を　なめまわして　攻撃する。 まひ状態に　することが　ある。	用長長的舌頭， 舔遍對手進行攻擊。 有時會讓對手陷入麻痺狀態。
0123-smog-0000|data.Name		Smog	Smog		Smog	浊雾	Purédpois	Polución	스모그	スモッグ	スモッグ	濁霧
0123-smog-0001|data.Desc		The target is attacked with a discharge of filthy gases. This may also poison the target.	Angriff mit Gas. Das Ziel kann eventuell vergiftet werden.		Il Pokémon attacca il bersaglio con una scarica di gas maleodoranti. Può anche avvelenarlo.	将肮脏的浓雾吹向对手进行攻击。有时会让对手陷入中毒状态。	Le lanceur attaque à l’aide d’une éruption de gaz répugnants. Peut aussi empoisonner l’ennemi.	El objetivo es atacado con gases tóxicos que pueden llegar a envenenar.	더러운 가스를 상대에게 내뿜어 공격한다. 독 상태로 만들 때가 있다.	よごれた　ガスを あいてに　ふきつけて　こうげきする。 どく　じょうたいに　することが　ある。	汚れた　ガスを 相手に　吹きつけて　攻撃する。 毒状態に　することが　ある。	將骯髒的濃霧 吹向對手進行攻擊。 有時會讓對手陷入中毒狀態。
0124-sludge-0000|data.Name		Sludge	Schlammbad		Fango	污泥攻击	Détritus	Residuos	오물공격	ヘドロこうげき	ヘドロこうげき	污泥攻擊
0124-sludge-0001|data.Desc		Unsanitary sludge is hurled at the target. This may also poison the target.	Wirft Schlamm auf das Ziel. Dieses wird eventuell vergiftet.		Il Pokémon attacca lanciando fango malsano sul bersaglio. Può anche avvelenarlo.	用污泥投掷对手进行攻击。有时会让对手陷入中毒状态。	Des détritus toxiques sont projetés sur l’ennemi. Peut aussi l’empoisonner.	Arroja residuos al objetivo. Puede llegar a envenenar.	더러운 오물을 상대에게 내던져서 공격한다. 독 상태로 만들 때가 있다.	きたない　ヘドロを あいてに　なげつけて　こうげきする。 どく　じょうたいに　することが　ある。	汚い　ヘドロを 相手に　投げつけて　攻撃する。 毒状態に　することが　ある。	向對手投擲污泥進行攻擊。 有時會讓對手陷入中毒狀態。
0125-bone_club-0000|data.Name		Bone Club	Knochenkeule		Ossoclava	骨棒	Massd'Os	Hueso Palo	뼈다귀치기	ホネこんぼう	ホネこんぼう	骨棒
0125-bone_club-0001|data.Desc		The user clubs the target with a bone. This may also make the target flinch.	Schlägt das Ziel mit einer Keule und lässt es eventuell zurückschrecken.		Il Pokémon colpisce il bersaglio con un osso e può farlo anche tentennare.	用手中的骨头殴打对手进行攻击。有时会使对手畏缩。	Le lanceur frappe l’ennemi à grands coups d’os. Peut aussi l’apeurer.	Aporrea con un hueso. Puede hacer retroceder al objetivo.	손에 들고 있는 뼈로 상대를 세게 때려서 공격한다. 상대를 풀죽게 만들 때가 있다.	てに　もった　ホネで あいてを　なぐりつけて　こうげきする。 あいてを　ひるませる　ことが　ある。	手に　持った　ホネで 相手を　なぐりつけて　攻撃する。 相手を　ひるませることが　ある。	用手中的骨頭 毆打對手進行攻擊。 有時會使對手畏縮。
0126-fire_blast-0000|data.Name		Fire Blast	Feuersturm		Fuocobomba	大字爆炎	Déflagration	Llamarada	불대문자	だいもんじ	だいもんじ	大字爆炎
0126-fire_blast-0001|data.Desc		The target is attacked with an intense blast of all-consuming fire. This may also leave the target with a burn.	Feuersbrunst, die das Ziel versengt und ihm eventuell eine Verbrennung zufügt.		Investe il bersaglio con un'intensa fiammata che fa terra bruciata. Può anche scottarlo.	用大字形状的火焰烧尽对手。有时会让对手陷入灼伤状态。	Un déluge de flammes ardentes submerge l’ennemi. Peut aussi le brûler.	Llama intensa que chamusca y puede causar quemaduras.	큰 대자의 불꽃으로 상대를 불태운다. 화상 상태로 만들 때가 있다.	だいのじの　ほのおで あいてを　やきつくす。 やけど　じょうたいに　することが　ある。	大の字の　炎で 相手を　焼きつくす。 やけど状態に　することが　ある。	用大字形狀的火焰燒盡對手。 有時會讓對手陷入灼傷狀態。
0127-waterfall-0000|data.Name		Waterfall	Kaskade		Cascata	攀瀑	Cascade	Cascada	폭포오르기	たきのぼり	たきのぼり	攀瀑
0127-waterfall-0001|data.Desc		The user charges at the target with enough force to climb a waterfall. This may also make the target flinch.	Der Benutzer schleudert sich kraftvoll auf das Ziel, wodurch es eventuell zurückschreckt.		Il Pokémon carica il bersaglio a grande velocità e può farlo tentennare.	以惊人的气势扑向对手。有时会使对手畏缩。	Le lanceur charge l’ennemi à une vitesse remarquable, ce qui peut l’apeurer.	Embiste con un gran impulso que puede hacer retroceder.	폭포마저 오를 수 있을 굉장한 기세로 상대에게 돌진한다. 상대를 풀죽게 만들 때가 있다.	すごい　いきおいで　あいてに　つっこむ。 あいてを　ひるませる　ことが　ある。	すごい　勢いで　相手に　つっこむ。 相手を　ひるませることが　ある。	以驚人的氣勢撲向對手。 有時會讓對手畏縮。
0128-clamp-0000|data.Name		Clamp	Schnapper		Tenaglia	贝壳夹击	Claquoir	Tenaza	껍질끼우기	からではさむ	からではさむ	貝殼夾擊
0128-clamp-0001|data.Desc		The target is clamped and squeezed by the user's very thick and sturdy shell for three turns.	Fängt und quetscht das Ziel über drei Runden durch die harte Schale des Anwenders.		Il Pokémon intrappola e stritola il bersaglio con la sua corazza spessa e forte per tre turni.	用非常坚固且厚实的贝壳，在3回合内夹住对手进行攻击。			매우 튼튼하고 두꺼운 껍질에 3턴 동안 상대를 끼워서 공격한다.			
0129-swift-0000|data.Name		Swift	Sternschauer		Comete	高速星星	Météores	Rapidez	스피드스타	スピードスター	スピードスター	高速星星
0129-swift-0001|data.Desc		Star-shaped rays are shot at the opposing Pokémon. This attack never misses.	Verschießt sternförmige Strahlen, die stets treffen, auf Gegner in der Umgebung.		Il Pokémon attacca il bersaglio con raggi a forma di stella. Questo attacco va sempre a segno.	发射星形的光攻击对手。攻击必定会命中。	Le lanceur envoie des rayons d’étoiles. Touche toujours l’ennemi.	Lanza rayos en forma de estrella que no fallan nunca.	별 모양의 빛을 발사해서 상대를 공격한다. 공격은 반드시 명중한다.	ほしがたの　ひかりを　はっしゃして あいてを　こうげきする。 こうげきは　かならず　めいちゅう　する。	星型の　光を　発射して 相手を　攻撃する。 攻撃は　必ず　命中する。	發射星型光線攻擊對手。 攻擊必定會命中。
0130-skull_bash-0000|data.Name		Skull Bash	Schädelwumme		Capocciata	火箭头锤	Coud'Krâne	Cabezazo	로케트박치기	ロケットずつき	ロケットずつき	火箭頭錘
0130-skull_bash-0001|data.Desc		The user tucks in its head to raise its Defense in the first turn, then rams the target on the next turn.	Der Anwender erhöht in Runde 1 seine Verteidigung und greift in Runde 2 an.		Il Pokémon ritira la testa per aumentare la Difesa e poi attacca al turno successivo.	第1回合把头缩进去，从而提高防御。第2回合攻击对手。	Le lanceur baisse la tête pour augmenter sa Défense au premier tour et percuter l’ennemi au second.	Primer turno: se prepara y sube la Defensa del usuario. Segundo turno: da el cabezazo.	1턴째에 머리를 움츠려 방어를 올린다. 2턴째에 상대를 공격한다.	１ターンめに　あたまを　ひっこめて ぼうぎょを　あげる。 ２ターンめに　あいてを　こうげきする。	１ターン目に　頭を　ひっこめて 防御を　あげる。 ２ターン目に　相手を　攻撃する。	使用後的第１回合把頭後縮，提高防禦。 並於第２回合攻擊對手。
0131-spike_cannon-0000|data.Name		Spike Cannon	Dornkanone		Sparalance	尖刺加农炮	Picanon	Clavo Cañón	가시대포	とげキャノン	とげキャノン	尖刺加農炮
0131-spike_cannon-0001|data.Desc		Sharp spikes are shot at the target in rapid succession. They hit five times in a row.	Spitze Nadeln treffen das Ziel fünfmal hintereinander.		Il Pokémon colpisce il bersaglio con delle spine per cinque volte in rapida successione.	向对手发射锐针进行攻击。连续攻击5次。			날카로운 침을 상대에게 발사해서 공격한다. 5회 동안 연속으로 쓴다.			
0132-constrict-0000|data.Name		Constrict	Umklammerung		Limitazione	缠绕	Constriction	Restricción	휘감기	からみつく	からみつく	纏繞
